"Study_Index","Dose","Number","Effect"
1,0,72,0
1,0.221428571,71,2
1,0.45,73,2
1,0.892857143,68,5
1,1.785714286,58,8
2,0,227,51
2,0.017280453,202,49
2,0.172804533,195,45
2,0.864022663,207,58
3,0,38,0
3,6,30,2
3,12,30,4
3,24,38,7
4,0,107,2
4,0.343163539,112,3
4,3.431635389,106,1
4,42.89544236,106,15
5,0,348,104
5,0.343163539,362,181
5,1.715817694,367,184
5,8.579088472,396,257
5,42.89544236,372,298
6,0,363,18
6,0.345609065,354,18
6,1.728045326,370,37
6,8.640226629,349,45
6,43.20113314,334,200
7,0,328,97
7,0.343163539,354,179
7,1.715817694,362,181
7,8.579088472,383,214
7,42.89544236,350,301
8,0,340,16
8,0.345609065,339,12
8,1.728045326,355,32
8,8.640226629,328,43
8,43.20113314,293,192
9,0,64,3
9,0.438053097,64,3
9,2.847345133,64,10
10,0,289,0
10,0.172176309,25,0
10,1.721763085,24,0
10,3.443526171,23,1
10,5.165289256,37,0
10,6.887052342,40,1
10,7.747933884,40,4
10,8.608815427,34,24
10,17.21763085,23,19
10,43.04407713,73,66
11,0,48,3
11,0.394736842,49,18
11,0.789473684,48,24
12,0,40,0
12,0.1,40,6
12,0.5,40,14
12,2.5,40,14
12,12.5,40,14
13,0,19,0
13,0.7,37,5
13,1.4,30,6
14,0,20,0
14,0.7,30,2
14,1.4,32,7
15,0,30,0
15,0.13,23,3
15,0.58,27,26
15,2.74,23,23
16,0,240,1
16,0.004088496,60,1
16,0.008176991,60,0
16,0.016353982,60,5
16,0.032707965,60,2
16,0.065415929,60,4
16,0.130831858,60,8
16,0.196247788,60,14
16,0.261663717,60,7
16,0.327079646,60,17
16,0.392495575,60,17
16,0.523327434,60,26
16,0.654159292,60,26
16,0.78499115,60,30
16,1.046654867,60,25
16,2.093309735,60,44
17,0,24,1
17,0.96,28,0
17,9.8,26,4
17,107,21,15
18,0,29,0
18,1.1,32,1
18,10.5,28,3
18,107,25,16
19,0,24,2
19,3.04,28,1
19,31.5,26,3
19,363,21,11
20,0,121,40
20,0.001080028,56,27
20,0.002160057,60,26
20,0.004320113,60,26
20,0.008640227,68,36
20,0.017280453,64,42
20,0.086402266,59,50
20,0.172804533,58,50
21,0,50,0
21,1.36,28,14
21,6.82,30,16
21,13.6,30,22
22,0,75,7
22,0.084175084,75,13
22,0.841750842,75,12
22,8.417508418,75,72
23,0,19,0
23,860.4206501,22,8
23,1720.8413,27,7
24,0,64,0
24,1.23,90,0
24,3.69,90,1
24,12.29,90,31
25,0,50,11
25,2.857142857,50,20
25,5.714285714,50,21
26,0,50,16
26,9.804672539,49,25
26,19.60934508,50,30
27,0,50,16
27,2.857142857,49,25
27,5.714285714,50,30
28,0,49,5
