Study_Index,Dose,Number,Effect
1,0,72,0
1,0.221428571,71,2
1,0.45,73,2
1,0.892857143,68,5
1,1.785714286,58,8
2,0,227,51
2,0.017280453,202,49
2,0.172804533,195,45
2,0.864022663,207,58
3,0,38,0
3,6,30,2
3,12,30,4
3,24,38,7
4,0,107,2
4,0.343163539,112,3
4,3.431635389,106,1
4,42.89544236,106,15
5,0,348,104
5,0.343163539,362,181
5,1.715817694,367,184
5,8.579088472,396,257
5,42.89544236,372,298
6,0,363,18
6,0.345609065,354,18
6,1.728045326,370,37
6,8.640226629,349,45
6,43.20113314,334,200
7,0,328,97
7,0.343163539,354,179
7,1.715817694,362,181
7,8.579088472,383,214
7,42.89544236,350,301
8,0,340,16
8,0.345609065,339,12
8,1.728045326,355,32
8,8.640226629,328,43
8,43.20113314,293,192
9,0,289,0
9,0.172176309,25,0
9,1.721763085,24,0
9,3.443526171,23,1
9,5.165289256,37,0
9,6.887052342,40,1
9,7.747933884,40,4
9,8.608815427,34,24
9,17.21763085,23,19
9,43.04407713,73,66
10,0,64,3
10,0.438053097,64,3
10,2.847345133,64,10
11,0,289,0
11,0.172176309,25,0
11,1.721763085,24,0
11,3.443526171,23,1
11,5.165289256,37,0
11,6.887052342,40,1
11,7.747933884,40,4
11,8.608815427,34,24
11,17.21763085,23,19
11,43.04407713,73,66
12,0,48,3
12,0.394736842,49,18
12,0.789473684,48,24
13,0,40,0
13,0.1,40,6
13,0.5,40,14
13,2.5,40,14
13,12.5,40,14
14,0,19,0
14,0.7,37,5
14,1.4,30,6
15,0,20,0
15,0.7,30,2
15,1.4,32,7
16,0,30,0
16,0.13,23,3
16,0.58,27,26
16,2.74,23,23
17,0,240,1
17,0.004088496,60,1
17,0.008176991,60,0
17,0.016353982,60,5
17,0.032707965,60,2
17,0.065415929,60,4
17,0.130831858,60,8
17,0.196247788,60,14
17,0.261663717,60,7
17,0.327079646,60,17
17,0.392495575,60,17
17,0.523327434,60,26
17,0.654159292,60,26
17,0.78499115,60,30
17,1.046654867,60,25
17,2.093309735,60,44
18,0,24,1
18,0.96,28,0
18,9.8,26,4
18,107,21,15
19,0,29,0
19,1.1,32,1
19,10.5,28,3
19,107,25,16
20,0,24,2
20,3.04,28,1
20,31.5,26,3
20,363,21,11
21,0,121,40
21,0.001080028,56,27
21,0.002160057,60,26
21,0.004320113,60,26
21,0.008640227,68,36
21,0.017280453,64,42
21,0.086402266,59,50
21,0.172804533,58,50
22,0,50,0
22,1.36,28,14
22,6.82,30,16
22,13.6,30,22
23,0,75,7
23,0.084175084,75,13
23,0.841750842,75,12
23,8.417508418,75,72
24,0,19,0
24,860.4206501,22,8
24,1720.8413,27,7
25,0,64,0
25,1.23,90,0
25,3.69,90,1
