Index,CASRN,Chemical.Name,Source,Toxicity.Value,Organ,Reference,Effect,Dose.Converted,X.Doses,Dose,Dose.Unit1,Dose.Unit2,Final.Dose,N.Animal,Obs.Animal,Species,Strain,Sex,Effect.Sex,Route,No.Days,Duration,Duration.type
1,50180,Cyclophosphamide (Anhydrous),CalEPA,0.61,bladder,Schmahl D and Habs M (1979). Carcinogenic action of low-dose cyclophosphamide given orally to Sprague-Dawley rats in a lifetime experiment. Int. J. Cancer 23: 706-712.,transitional cell carcinomas of the urinary bladder,Dose,5,0,mg/kg/day (hydrated),mg/kg/day (hydrated),0,72,0,Rat,Sprague-Dawley,M/F,Both,Oral drinking water,5,156,Weeks
1,50180,Cyclophosphamide (Anhydrous),CalEPA,0.61,bladder,Schmahl D and Habs M (1979). Carcinogenic action of low-dose cyclophosphamide given orally to Sprague-Dawley rats in a lifetime experiment. Int. J. Cancer 23: 706-712.,transitional cell carcinomas of the urinary bladder,Dose,5,0.31,mg/kg/day (hydrated),mg/kg/day (hydrated),0.221428571,71,2,Rat,Sprague-Dawley,M/F,Both,Oral drinking water,5,156,Weeks
1,50180,Cyclophosphamide (Anhydrous),CalEPA,0.61,bladder,Schmahl D and Habs M (1979). Carcinogenic action of low-dose cyclophosphamide given orally to Sprague-Dawley rats in a lifetime experiment. Int. J. Cancer 23: 706-712.,transitional cell carcinomas of the urinary bladder,Dose,5,0.63,mg/kg/day (hydrated),mg/kg/day (hydrated),0.45,73,2,Rat,Sprague-Dawley,M/F,Both,Oral drinking water,5,156,Weeks
1,50180,Cyclophosphamide (Anhydrous),CalEPA,0.61,bladder,Schmahl D and Habs M (1979). Carcinogenic action of low-dose cyclophosphamide given orally to Sprague-Dawley rats in a lifetime experiment. Int. J. Cancer 23: 706-712.,transitional cell carcinomas of the urinary bladder,Dose,5,1.25,mg/kg/day (hydrated),mg/kg/day (hydrated),0.892857143,68,5,Rat,Sprague-Dawley,M/F,Both,Oral drinking water,5,156,Weeks
1,50180,Cyclophosphamide (Anhydrous),CalEPA,0.61,bladder,Schmahl D and Habs M (1979). Carcinogenic action of low-dose cyclophosphamide given orally to Sprague-Dawley rats in a lifetime experiment. Int. J. Cancer 23: 706-712.,transitional cell carcinomas of the urinary bladder,Dose,5,2.5,mg/kg/day (hydrated),mg/kg/day (hydrated),1.785714286,58,8,Rat,Sprague-Dawley,M/F,Both,Oral drinking water,5,156,Weeks
2,50282,Estradiol 17B,CalEPA,39,mammary glands,"Highman B, Greenman DL, Norvell MJ, Farmer J and Shellenberger TE (1980). Neoplastic and preneoplasttc lesIons induced 10 female C3H mice by diets containing
diethylstilbestrol or 17beta-estradiol. J. Environ. Pathol. Toxicol. 4: 81-95.",mammary gland adenocarcinomas,Dose,4,0,ppb,ppb,0,227,51,Mouse,C3H,F,Both,Oral diet,NA,105,Weeks
2,50282,Estradiol 17B,CalEPA,39,mammary glands,"Highman B, Greenman DL, Norvell MJ, Farmer J and Shellenberger TE (1980). Neoplastic and preneoplasttc lesIons induced 10 female C3H mice by diets containing
diethylstilbestrol or 17beta-estradiol. J. Environ. Pathol. Toxicol. 4: 81-95.",mammary gland adenocarcinomas,Dose,4,100,ppb,ppb,0.017280453,202,49,Mouse,C3H,F,Both,Oral diet,NA,105,Weeks
2,50282,Estradiol 17B,CalEPA,39,mammary glands,"Highman B, Greenman DL, Norvell MJ, Farmer J and Shellenberger TE (1980). Neoplastic and preneoplasttc lesIons induced 10 female C3H mice by diets containing
diethylstilbestrol or 17beta-estradiol. J. Environ. Pathol. Toxicol. 4: 81-95.",mammary gland adenocarcinomas,Dose,4,1000,ppb,ppb,0.172804533,195,45,Mouse,C3H,F,Both,Oral diet,NA,105,Weeks
2,50282,Estradiol 17B,CalEPA,39,mammary glands,"Highman B, Greenman DL, Norvell MJ, Farmer J and Shellenberger TE (1980). Neoplastic and preneoplasttc lesIons induced 10 female C3H mice by diets containing
diethylstilbestrol or 17beta-estradiol. J. Environ. Pathol. Toxicol. 4: 81-95.",mammary gland adenocarcinomas,Dose,4,5000,ppb,ppb,0.864022663,207,58,Mouse,C3H,F,Both,Oral diet,NA,105,Weeks
3,50293,DDT,IRIS,0.34,liver,"Cabral, J.R.P., R.K. Hall, L. Rossi, S.A. Bronczyk and P. Shubik. 1982. Effects of long-term intake of DDT on rats. Tumorigenesis. 68: 11-17.",liver-cell tumors,Conv,4,0,mg/kg/day,ppm,0,38,0,Rat,Porton,M/F,F,Oral diet,NA,144,Weeks
