"Index","Species","Strain","Sex","Effect.Sex","Dose.Converted","Sex.result","bw.a"
1,"Rat","Sprague-Dawley","M/F","Both","Dose","Both",0.431
2,"Mouse","C3H","F","Both","Dose","F",0.0353
3,"Rat","Porton","M/F","F","Conv","F",0.284
4,"Mouse","BALB/C","M/F","M","Dose","M",0.0373
5,"Mouse","CF-1","M/F","M","Dose","M",0.0373
6,"Mouse","CF-1","M/F","F","Dose","F",0.0353
7,"Mouse","CF-1","M/F","M","Dose","M",0.0373
8,"Mouse","CF-1","M/F","F","Dose","F",0.0353
9,"Rat","Sprague-Dawley","M/F","Both","Dose","Both",0.431
10,"Mouse","Swiss","Unspecified","Both","Dose","Both",0.0363
11,"Rat","Fischer 344","M/F","M","Dose","M",0.38
12,"Mouse","NMRI","M/F","M","Dose","M",0.0373
13,"Rat","Sprague-Dawley","M/F","M","Dose","M",0.523
14,"Rat","Sprague-Dawley","M/F","F","Dose","F",0.338
15,"Rat","Fischer 344","M","Both","Conv","M",0.38
16,"Rat","Colworth","M/F","M","Dose","M",0.452
17,"Rat","CD","M/F","M","HEq","M",70
18,"Rat","CD","M/F","F","HEq","F",70
19,"Rat","CD","M/F","M","Conv","M",0.452
20,"Mouse","C3H","F","Both","Dose","F",0.0353
21,"Hamster","Golden Syrian","M/F","F","Dose","F",0.145
22,"Rat","Wistar","M/F","F","Dose","F",0.297
23,"Rat","Sprague-Dawley","M/F","M","Dose","M",0.523
24,"Rat","CD","M/F","M","HEq","M",70
25,"Rat","Fischer 344","M/F","M","HEq","M",70
26,"Mouse","B6C3F1","M/F","M","Dose","M",0.0373
27,"Rat","Fischer 344","M/F","M","HEq","M",70
28,"Mouse","B6C3F1","M/F","F","HEq","F",70
29,"Rat","Colworth","M/F","F","Dose","F",0.284
30,"Mouse","B6C3F1","M/F","F","Dose","F",0.0353
31,"Rat","Fischer 344","M/F","M","Dose","M",0.38
32,"Rat","Wistar","M","Both","Dose","M",0.462
33,"Mouse","B6C3F1","M/F","M","HEq","M",70
34,"Mouse","B6C3F1","M/F","F","HEq","F",70
35,"Hamster","Golden Syrian","M/F","M","HEq","M",70
36,"Hamster","Golden Syrian","M/F","F","HEq","F",70
37,"Rat","Wistar","F","Both","HEq","F",70
38,"Rat","Fischer 344","M/F","F","HEq","F",70
39,"Mouse","B6C3F1","M/F","M","HEq","M",70
40,"Rat","Osborne-Mendel","F","Both","Dose","F",0.389
41,"Rat","Sprague-Dawley","F","Both","HEq","F",70
42,"Mouse","B6C3F1","M/F","F","HEq","F",70
43,"Mouse","B6C3F1","M","Both","HEq","M",70
44,"Mouse","B6C3F1","M/F","M","HEq","M",70
45,"Mouse","B6C3F1","","F","HEq","F",70
46,"Rat","Fischer 344","M/F","M","HEq","M",70
47,"Mouse","B6C3F1","M/F","M","Conv","M",0.0373
48,"Mouse","B6C3F1","M/F","Both","HEq","Both",70
49,"Rat","Fischer 344","M/F","F","HEq","F",70
50,"Rat","Fischer 344","M/F","F","HEq","F",70
51,"Rat","Fischer 344","M/F","F","HEq","F",70
52,"Rat","Fischer 344","M/F","F","HEq","F",70
53,"Rat","Fischer 344","M/F","F","HEq","F",70
54,"Rat","Fischer 344","M/F","F","HEq","F",70
55,"Rat","Fischer 344","M/F","M","Dose","M",0.38
56,"Mouse","B6C3F1","M/F","F","Dose","F",0.0353
57,"Mouse","B6C3F1","M/F","F","Dose","F",0.0353
58,"Mouse","B6C3F1","M","M","HEq","M",70
59,"Rat","Fischer 344","M/F","M","Dose","M",0.38
60,"Mouse","B6C3F1","M/F","M","HEq","M",70
61,"Rat","Fischer 344","M/F","M","Conv","M",0.38
62,"Rat","Fischer 344","M/F","M","Conv","M",0.38
63,"Rat","Fischer 344","M/F","F","Conv","F",0.229
64,"Mouse","B6C3F1","M/F","F","Dose","F",0.0353
65,"Mouse","B6C3F1","M/F","F","Dose","F",0.0353
66,"Mouse","B6C3F1","M/F","F","Dose","F",0.0353
67,"Rat","CD","M/F","F","Conv","F",0.284
68,"Rat","Sprague-Dawley","M/F","M","HEq","M",70
69,"Rat","Fischer 344","M/F","F","Dose","F",0.229
70,"Mouse","B6C3F1","M/F","M","Conv","M",0.0373
71,"Mouse","B6C3F1","M/F","F","Conv","F",0.0353
72,"Mouse","B6C3F1","M/F","F","Conv","F",0.0353
73,"Mouse","B6C3F1","M/F","F","Conv","F",0.0353
74,"Mouse","B6C3F1","M/F","M","Conv","M",0.0373
75,"Mouse","B6C3F1","M/F","M","Conv","M",0.0373
76,"Mouse","B6C3F1","M/F","M","Conv","M",0.0373
77,"Mouse","B6C3F1","M/F","F","Conv","F",0.0353
78,"Rat","Fischer 344","M/F","M","HEq","M",70
79,"Rat","Fischer 344","M/F","M","Conv","M",0.38
80,"Mouse","BDF1","M/F","F","Dose","F",0.0353
81,"Rat","Fischer 344","M/F","M","Dose","M",0.38
82,"Rat","Fischer 344","M/F","F","Dose","F",0.229
83,"Rat","Sprague-Dawley","M","Both","Conv","M",0.523
84,"Non-human primate","Rhesus Monkey","M/F","F","Dose","F",8
85,"Mouse","B6C3F1","M/F","F","Dose","F",0.0353
86,"Rat","Osborne-Mendel","M/F","F","Dose","F",0.389
87,"Mouse","CD-1","M/F","F","HEq","F",70
88,"Mouse","B6C3F1","M/F","M","Conv","M",0.0373
89,"Mouse","CD-1","M/F","M","Conv","M",0.0373
90,"Mouse","Unspecified","M/F","F","HEq","F",70
91,"Rat","Fischer 344","M/F","F","Dose","F",0.229
92,"Rat","Fischer 344","M/F","M","Conv","M",0.38
93,"Rat","Fischer 344","M/F","M","Dose","M",0.38
94,"Rat","CD","M/F","M","Dose","M",0.452
95,"Mouse","B6C3F1","M/F","F","Dose","F",0.0353
96,"Mouse","B6C3F1","M/F","F","Dose","F",0.0353
97,"Mouse","B6C3F1","M/F","F","Dose","F",0.0353
98,"Mouse","B6C3F1","M/F","F","Dose","F",0.0353
