"","ql.weight","log.weight","pro.weight","wei.weight","ms2.weight","llog.weight","lpro.weight","dh.weight"
"1",1932,739,891,264,768,244,58,104
"2",955,973,976,509,445,511,395,237
"3",1963,657,761,295,790,204,57,274
"4",649,968,931,584,439,553,587,289
"5",1,0,0,0,0,313,0,4686
"6",106,1156,1742,476,969,321,157,71
"7",2210,661,531,550,654,330,27,35
"8",38,781,1546,662,1296,385,209,84
"9",859,915,905,560,517,511,443,289
"10",0,0,0,0,0,0,0,4999
"11",1638,376,480,511,631,660,285,420
"12",4,3,3,1,1,0,0,4988
"13",1485,804,892,299,774,238,134,374
"14",817,1114,1219,397,634,347,264,207
"15",22,1220,1528,554,654,514,317,190
"16",1294,0,0,181,190,2757,0,578
"17",2009,583,655,258,776,322,159,238
"18",2066,593,681,249,805,275,180,152
"19",1095,940,995,418,507,413,416,216
"20",324,31,15,56,61,2704,11,1799
"21",29,0,0,6,7,626,0,4331
"22",18,1178,1170,604,510,600,613,307
"23",1370,295,337,201,492,145,43,2118
"24",0,1467,1719,497,105,491,447,274
"25",1223,1027,1045,266,548,236,144,511
"26",1245,1089,1112,282,588,236,126,322
"27",1249,1116,1099,264,598,227,131,317
"28",277,710,623,859,400,828,837,465
"29",0,0,0,0,0,2007,144,2848
"30",600,23,34,164,186,341,12,3640
"31",684,1022,994,581,530,505,417,267
"32",1757,15,20,616,676,852,598,467
"33",1075,937,1114,351,813,294,205,212
"34",909,497,666,608,824,596,598,301
"35",1618,693,832,292,845,204,74,444
"36",1660,316,380,257,636,203,27,1522
"37",1985,1,0,573,593,775,893,181
"38",277,1311,1401,504,317,473,446,272
"39",478,1047,952,644,460,575,542,302
"40",619,1151,1148,538,479,481,349,235
"41",529,982,1272,378,913,382,252,291
"42",1219,53,6,380,390,1184,767,1000
"43",805,828,847,611,511,549,515,333
"44",9,36,33,1358,77,1302,1422,764
"45",1389,938,1004,273,646,220,109,422
"46",99,1622,1678,451,103,393,444,211
"47",1215,1102,1116,280,601,264,149,274
"48",317,1306,1328,378,653,394,346,279
"49",520,1026,963,629,390,593,608,270
"50",646,938,914,672,386,629,543,273
"51",1395,1031,1076,288,517,269,197,227
"52",1135,1059,1098,389,490,354,310,165
"53",646,1334,1323,326,571,332,297,172
"54",969,1051,1064,458,452,431,385,189
"55",636,303,325,65,174,56,28,3412
"56",1162,234,198,726,844,703,746,387
"57",1152,266,222,731,810,705,741,372
"58",317,1070,1462,710,706,346,328,60
"59",1001,44,59,294,323,736,113,2429
"60",1500,1028,619,390,461,488,424,91
"61",546,1238,1209,448,523,422,407,208
"62",11,1600,1629,470,78,465,484,262
"63",0,1632,1672,473,3,467,488,266
"64",0,0,0,0,0,19,0,4980
"65",1526,331,374,164,444,120,45,1998
"66",1252,477,613,563,675,594,558,269
"67",0,1526,1999,387,126,397,289,276
"68",435,1022,1042,604,372,595,624,306
"69",1624,825,946,268,711,259,140,227
"70",18,147,165,496,365,1457,1517,835
"71",0,1603,1531,507,153,483,474,249
"72",80,1506,1580,354,662,348,292,177
"73",1537,858,942,291,729,265,198,180
"74",925,535,788,554,831,539,501,326
"75",1070,972,996,391,577,426,373,196
"76",1357,707,648,443,554,577,481,233
"77",899,1118,1214,322,727,286,210,224
"78",1543,851,862,276,615,330,90,433
"79",0,0,0,0,0,11,0,4989
"80",0,0,0,0,0,1025,76,3899
"81",627,1339,1363,408,386,377,403,97
"82",626,1,0,188,195,1568,567,1855
"83",2012,369,265,446,611,643,523,131
"84",1418,1153,1235,258,374,272,227,63
"85",914,901,902,467,414,543,530,330
"86",1385,565,793,440,831,429,232,326
"87",683,857,853,660,525,577,552,293
"88",18,1294,1522,352,906,356,284,267
"89",1460,101,120,431,533,826,369,1160
"90",349,2,1,99,104,1016,242,3187
"91",1853,481,543,246,709,181,48,938
"92",1754,48,98,681,793,772,521,332
"93",1163,56,1,365,351,1189,855,1020
"94",1052,838,1094,367,955,354,152,187
"95",0,0,0,0,0,2875,223,1903
"96",1171,1048,1068,380,487,366,262,217
"97",1408,932,958,349,557,324,310,163
"98",52,559,457,1052,307,1020,1040,512
"99",0,980,254,897,1,1158,1195,516
"100",370,1390,1261,407,577,401,317,278
"101",883,891,888,362,264,465,619,628
"102",1188,952,1073,340,706,285,192,264
"103",839,963,948,566,483,522,430,250
"104",1026,1072,1085,387,631,328,253,217
"105",0,1739,1743,426,2,437,345,308
"106",105,25,20,27,31,360,18,4416
"107",39,463,486,400,404,859,773,1577
"108",0,0,0,0,0,0,0,4999
"109",0,0,0,0,0,0,0,5000
"110",865,129,154,192,279,329,5,3048
"111",181,1427,1587,391,496,360,289,270
"112",254,646,665,799,615,791,734,496
