"Index","CASRN","Chemical.Name","Source","Toxicity.Value","Organ","Reference","Effect","Dose.Converted","X.Doses","Dose","Dose.Unit1","Dose.Unit2","N.Animal","Obs.Animal","Species","Strain","Sex","Effect.Sex","Route","No.Days","Duration","Duration.type"
1,50180,"Cyclophosphamide (Anhydrous)","CalEPA",0.61,"bladder","Schmahl D and Habs M (1979). Carcinogenic action of low-dose cyclophosphamide given orally to Sprague-Dawley rats in a lifetime experiment. Int. J. Cancer 23: 706-712.","transitional cell carcinomas of the urinary bladder","Dose",5,"0.0","mg/kg/day (hydrated)","mg/kg/day (hydrated)","72","0","Rat","Sprague-Dawley","M/F","Both","Oral drinking water",5,"156","Weeks"
1,50180,"Cyclophosphamide (Anhydrous)","CalEPA",0.61,"bladder","Schmahl D and Habs M (1979). Carcinogenic action of low-dose cyclophosphamide given orally to Sprague-Dawley rats in a lifetime experiment. Int. J. Cancer 23: 706-712.","transitional cell carcinomas of the urinary bladder","Dose",5,"0.31","mg/kg/day (hydrated)","mg/kg/day (hydrated)","71","2","Rat","Sprague-Dawley","M/F","Both","Oral drinking water",5,"156","Weeks"
1,50180,"Cyclophosphamide (Anhydrous)","CalEPA",0.61,"bladder","Schmahl D and Habs M (1979). Carcinogenic action of low-dose cyclophosphamide given orally to Sprague-Dawley rats in a lifetime experiment. Int. J. Cancer 23: 706-712.","transitional cell carcinomas of the urinary bladder","Dose",5,"0.63","mg/kg/day (hydrated)","mg/kg/day (hydrated)","73","2","Rat","Sprague-Dawley","M/F","Both","Oral drinking water",5,"156","Weeks"
1,50180,"Cyclophosphamide (Anhydrous)","CalEPA",0.61,"bladder","Schmahl D and Habs M (1979). Carcinogenic action of low-dose cyclophosphamide given orally to Sprague-Dawley rats in a lifetime experiment. Int. J. Cancer 23: 706-712.","transitional cell carcinomas of the urinary bladder","Dose",5,"1.25","mg/kg/day (hydrated)","mg/kg/day (hydrated)","68","5","Rat","Sprague-Dawley","M/F","Both","Oral drinking water",5,"156","Weeks"
1,50180,"Cyclophosphamide (Anhydrous)","CalEPA",0.61,"bladder","Schmahl D and Habs M (1979). Carcinogenic action of low-dose cyclophosphamide given orally to Sprague-Dawley rats in a lifetime experiment. Int. J. Cancer 23: 706-712.","transitional cell carcinomas of the urinary bladder","Dose",5,"2.5","mg/kg/day (hydrated)","mg/kg/day (hydrated)","58","8","Rat","Sprague-Dawley","M/F","Both","Oral drinking water",5,"156","Weeks"
2,50282,"Estradiol 17B","CalEPA",39,"mammary glands","Highman B, Greenman DL, Norvell MJ, Farmer J and Shellenberger TE (1980). Neoplastic and preneoplasttc lesIons induced 10 female C3H mice by diets containing
diethylstilbestrol or 17beta-estradiol. J. Environ. Pathol. Toxicol. 4: 81-95.","mammary gland adenocarcinomas","Dose",4,"0.0","ppb","ppb","227","51","Mouse","C3H","F","Both","Oral diet",NA,"105","Weeks"
2,50282,"Estradiol 17B","CalEPA",39,"mammary glands","Highman B, Greenman DL, Norvell MJ, Farmer J and Shellenberger TE (1980). Neoplastic and preneoplasttc lesIons induced 10 female C3H mice by diets containing
diethylstilbestrol or 17beta-estradiol. J. Environ. Pathol. Toxicol. 4: 81-95.","mammary gland adenocarcinomas","Dose",4,"100.0","ppb","ppb","202","49","Mouse","C3H","F","Both","Oral diet",NA,"105","Weeks"
2,50282,"Estradiol 17B","CalEPA",39,"mammary glands","Highman B, Greenman DL, Norvell MJ, Farmer J and Shellenberger TE (1980). Neoplastic and preneoplasttc lesIons induced 10 female C3H mice by diets containing
diethylstilbestrol or 17beta-estradiol. J. Environ. Pathol. Toxicol. 4: 81-95.","mammary gland adenocarcinomas","Dose",4,"1000.0","ppb","ppb","195","45","Mouse","C3H","F","Both","Oral diet",NA,"105","Weeks"
2,50282,"Estradiol 17B","CalEPA",39,"mammary glands","Highman B, Greenman DL, Norvell MJ, Farmer J and Shellenberger TE (1980). Neoplastic and preneoplasttc lesIons induced 10 female C3H mice by diets containing
diethylstilbestrol or 17beta-estradiol. J. Environ. Pathol. Toxicol. 4: 81-95.","mammary gland adenocarcinomas","Dose",4,"5000.0","ppb","ppb","207","58","Mouse","C3H","F","Both","Oral diet",NA,"105","Weeks"
3,50293,"DDT","IRIS",0.34,"liver","Cabral, J.R.P., R.K. Hall, L. Rossi, S.A. Bronczyk and P. Shubik. 1982. Effects of long-term intake of DDT on rats. Tumorigenesis. 68: 11-17.","liver-cell tumors","Conv",4,"0.0","mg/kg/day","ppm","38","0","Rat","Porton","M/F","F","Oral diet",NA,"144","Weeks"
3,50293,"DDT","IRIS",0.34,"liver","Cabral, J.R.P., R.K. Hall, L. Rossi, S.A. Bronczyk and P. Shubik. 1982. Effects of long-term intake of DDT on rats. Tumorigenesis. 68: 11-17.","liver-cell tumors","Conv",4,"6.0","mg/kg/day","ppm","30","2","Rat","Porton","M/F","F","Oral diet",NA,"144","Weeks"
3,50293,"DDT","IRIS",0.34,"liver","Cabral, J.R.P., R.K. Hall, L. Rossi, S.A. Bronczyk and P. Shubik. 1982. Effects of long-term intake of DDT on rats. Tumorigenesis. 68: 11-17.","liver-cell tumors","Conv",4,"12.0","mg/kg/day","ppm","30","4","Rat","Porton","M/F","F","Oral diet",NA,"144","Weeks"
3,50293,"DDT","IRIS",0.34,"liver","Cabral, J.R.P., R.K. Hall, L. Rossi, S.A. Bronczyk and P. Shubik. 1982. Effects of long-term intake of DDT on rats. Tumorigenesis. 68: 11-17.","liver-cell tumors","Conv",4,"24.0","mg/kg/day","ppm","38","7","Rat","Porton","M/F","F","Oral diet",NA,"144","Weeks"
4,50293,"DDT","IRIS",0.34,"liver","Terracini, B., M.C. Testa, J.R. Cabral and N. Day. 1973. The effects of long-term feeding of DDT
to BALB/c mice. Int. J. Cancer. 11: 747-764.","benign liver tumors","Dose",4,"0.0","","","107","2","Mouse","BALB/C","M/F","M","Oral diet",NA,"2","Generations"
4,50293,"DDT","IRIS",0.34,"liver","Terracini, B., M.C. Testa, J.R. Cabral and N. Day. 1973. The effects of long-term feeding of DDT
to BALB/c mice. Int. J. Cancer. 11: 747-764.","benign liver tumors","Dose",4,"2.0","","","112","3","Mouse","BALB/C","M/F","M","Oral diet",NA,"2","Generations"
4,50293,"DDT","IRIS",0.34,"liver","Terracini, B., M.C. Testa, J.R. Cabral and N. Day. 1973. The effects of long-term feeding of DDT
to BALB/c mice. Int. J. Cancer. 11: 747-764.","benign liver tumors","Dose",4,"20.0","","","106","1","Mouse","BALB/C","M/F","M","Oral diet",NA,"2","Generations"
4,50293,"DDT","IRIS",0.34,"liver","Terracini, B., M.C. Testa, J.R. Cabral and N. Day. 1973. The effects of long-term feeding of DDT
to BALB/c mice. Int. J. Cancer. 11: 747-764.","benign liver tumors","Dose",4,"250.0","","","106","15","Mouse","BALB/C","M/F","M","Oral diet",NA,"2","Generations"
5,50293,"DDT","IRIS",0.34,"liver","Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.","benign liver tumors","Dose",5,"0.0","ppm","ppm","348","104","Mouse","CF-1","M/F","M","Oral diet",NA,"130","Weeks"
5,50293,"DDT","IRIS",0.34,"liver","Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.","benign liver tumors","Dose",5,"2.0","ppm","ppm","362","181","Mouse","CF-1","M/F","M","Oral diet",NA,"130","Weeks"
5,50293,"DDT","IRIS",0.34,"liver","Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.","benign liver tumors","Dose",5,"10.0","ppm","ppm","367","184","Mouse","CF-1","M/F","M","Oral diet",NA,"130","Weeks"
5,50293,"DDT","IRIS",0.34,"liver","Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.","benign liver tumors","Dose",5,"50.0","ppm","ppm","396","257","Mouse","CF-1","M/F","M","Oral diet",NA,"130","Weeks"
5,50293,"DDT","IRIS",0.34,"liver","Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.","benign liver tumors","Dose",5,"250.0","ppm","ppm","372","298","Mouse","CF-1","M/F","M","Oral diet",NA,"130","Weeks"
6,50293,"DDT","IRIS",0.34,"liver","Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.","benign liver tumors","Dose",5,"0.0","ppm","ppm","363","18","Mouse","CF-1","M/F","F","Oral diet",NA,"130","Weeks"
6,50293,"DDT","IRIS",0.34,"liver","Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.","benign liver tumors","Dose",5,"2.0","ppm","ppm","354","18","Mouse","CF-1","M/F","F","Oral diet",NA,"130","Weeks"
6,50293,"DDT","IRIS",0.34,"liver","Tomatis, L. and V. Turusov. 1975. Studies on the carcinogenicity of DDT. Gann Monograph
Cancer Res. 17: 219-241.","benign liver tumors","Dose",5,"10.0","ppm","ppm","370","37","Mouse","CF-1","M/F","F","Oral diet",NA,"130","Weeks"
