"Index","indivrisk","Incidence","X5.","X50.","X95."
1,1e-06,0.5,1.19e-06,6.41e-06,0.066354795
1,1e-05,0.5,1.19e-05,6.39e-05,0.087603935
1,1e-04,0.5,0.000119184,0.000636499,0.115021598
1,0.001,0.5,0.001190891,0.006215943,0.16250777
1,0.01,0.5,0.011785358,0.05298451,0.302219984
1,0.1,0.5,0.099338905,0.321862037,1.034694843
2,1e-06,0.5,4.2e-07,2.7e-06,0.078355885
2,1e-05,0.5,4.2e-06,2.7e-05,0.09031003
2,1e-04,0.5,4.2e-05,0.00026917,0.10682403
2,0.001,0.5,0.000419247,0.002653529,0.126692728
2,0.01,0.5,0.004128442,0.022455027,0.173895089
2,0.1,0.5,0.031484333,0.114452996,0.564659671
3,1e-06,0.5,8.78e-06,4.96e-05,0.889590315
3,1e-05,0.5,8.77e-05,0.000492673,1.151051192
3,1e-04,0.5,0.000873911,0.004872033,1.49088107
3,0.001,0.5,0.00862349,0.047274439,2.019083288
3,0.01,0.5,0.083466267,0.416344666,3.33041949
3,0.1,0.5,0.747167211,2.839313274,10.92880884
4,1e-06,0.5,2.29e-05,0.000219282,3.867293921
4,1e-05,0.5,0.000228725,0.002191352,4.347364353
4,1e-04,0.5,0.00228735,0.021656423,5.03900316
4,0.001,0.5,0.022695741,0.2019122,5.926171069
4,0.01,0.5,0.212173032,1.258043356,7.156643771
4,0.1,0.5,1.224334333,4.052782529,12.80608721
5,1e-06,0.5,2.98e-07,1.74e-06,2.76e-05
5,1e-05,0.5,2.81e-06,1.51e-05,0.000164732
5,1e-04,0.5,2.63e-05,0.000130262,0.00102377
5,0.001,0.5,0.000244435,0.00111919,0.006528853
5,0.01,0.5,0.002230962,0.009492991,0.043784856
5,0.1,0.5,0.022766695,0.089023027,0.358814093
6,1e-06,0.5,5.18e-06,2.23e-05,0.014916085
6,1e-05,0.5,5.15e-05,0.000220673,0.034405825
6,1e-04,0.5,0.000513611,0.002181921,0.085335152
6,0.001,0.5,0.005077518,0.021044237,0.219148971
6,0.01,0.5,0.048117466,0.183308528,0.794380366
6,0.1,0.5,0.36161988,1.204742977,4.071293797
7,1e-06,0.5,1.21e-06,4.11e-06,4.02e-05
7,1e-05,0.5,1.2e-05,4.07e-05,0.000291568
7,1e-04,0.5,0.000119607,0.000399871,0.00218966
7,0.001,0.5,0.001190441,0.003917859,0.017711763
7,0.01,0.5,0.011816157,0.038276059,0.149554469
7,0.1,0.5,0.119357117,0.378797076,1.288617198
8,1e-06,0.5,4.67e-06,2.27e-05,0.022947411
8,1e-05,0.5,4.66e-05,0.000225441,0.040604778
8,1e-04,0.5,0.000463809,0.002196731,0.083407234
8,0.001,0.5,0.004581843,0.020698086,0.189134754
8,0.01,0.5,0.042514267,0.17044576,0.662891659
8,0.1,0.5,0.312325273,1.069009501,3.559009435
9,1e-06,0.5,0.056644328,0.17869769,0.580425594
9,1e-05,0.5,0.074994097,0.234411437,0.760708654
9,1e-04,0.5,0.099086503,0.307393678,0.991833274
9,0.001,0.5,0.130036633,0.402332639,1.293325874
9,0.01,0.5,0.170339892,0.529625779,1.68946008
9,0.1,0.5,0.227020834,0.703879013,2.251447823
10,1e-06,0.5,2.51e-06,1.79e-05,0.486540034
10,1e-05,0.5,2.51e-05,0.000178499,0.566321239
10,1e-04,0.5,0.000250576,0.001773551,0.656660754
10,0.001,0.5,0.002489344,0.017199095,0.775038726
10,0.01,0.5,0.024030289,0.133223573,0.963372385
10,0.1,0.5,0.170016027,0.567540712,2.045390183
11,1e-06,0.5,0.057543482,0.182359126,0.570816268
11,1e-05,0.5,0.075235156,0.238674678,0.743067089
11,1e-04,0.5,0.099083088,0.312861287,0.966194205
11,0.001,0.5,0.12969883,0.408995634,1.25871941
11,0.01,0.5,0.170168117,0.534723215,1.658203412
11,0.1,0.5,0.225225532,0.708203759,2.197358757
12,1e-06,0.5,1.04e-07,6.38e-07,0.008635144
12,1e-05,0.5,1.03e-06,6.23e-06,0.012295244
12,1e-04,0.5,1.01e-05,5.99e-05,0.01765429
12,0.001,0.5,9.66e-05,0.000554824,0.027143889
12,0.01,0.5,0.000929921,0.004787671,0.047854482
12,0.1,0.5,0.008678533,0.036156072,0.141289424
13,1e-06,0.5,7.77e-08,3.4e-05,0.000540679
13,1e-05,0.5,5.64e-07,9.56e-05,0.001160441
13,1e-04,0.5,4.09e-06,0.000269739,0.002527272
13,0.001,0.5,2.75e-05,0.000761084,0.005577158
13,0.01,0.5,0.000173831,0.00224373,0.013013921
13,0.1,0.5,0.001169663,0.008011608,0.036274116
14,1e-06,0.5,6.67e-07,4.53e-06,0.119878358
14,1e-05,0.5,6.66e-06,4.52e-05,0.147924
14,1e-04,0.5,6.64e-05,0.000445817,0.186625435
14,0.001,0.5,0.000655893,0.004262143,0.242694384
14,0.01,0.5,0.006046007,0.035600912,0.346491324
14,0.1,0.5,0.053259259,0.212078423,0.912578051
15,1e-06,0.5,8.37e-07,1.12e-05,0.148174604
15,1e-05,0.5,8.36e-06,0.000111544,0.173137889
15,1e-04,0.5,8.36e-05,0.001102297,0.207269804
15,0.001,0.5,0.000835202,0.009896244,0.259188199
15,0.01,0.5,0.0081806,0.059175768,0.358758804
15,0.1,0.5,0.059476049,0.207217871,0.690424355
16,1e-06,0.5,1.46e-07,1.74e-06,0.013420253
16,1e-05,0.5,1.46e-06,1.68e-05,0.017599985
16,1e-04,0.5,1.45e-05,0.00015349,0.023557754
16,0.001,0.5,0.00014317,0.001260258,0.032717443
16,0.01,0.5,0.001278686,0.007598605,0.049051529
16,0.1,0.5,0.007294313,0.027389767,0.099475518
17,1e-06,0.5,1.08e-07,4.41e-07,4.03e-06
17,1e-05,0.5,1.05e-06,4.03e-06,2.64e-05
17,1e-04,0.5,1.01e-05,3.64e-05,0.000186325
17,0.001,0.5,9.6e-05,0.00032702,0.001313436
17,0.01,0.5,0.000893235,0.002910095,0.009957456
17,0.1,0.5,0.008798661,0.027286654,0.087544788
18,1e-06,0.5,7.69e-06,4.83e-05,6.955463534
18,1e-05,0.5,7.69e-05,0.000480399,8.363859454
18,1e-04,0.5,0.000768196,0.004776856,10.02753323
18,0.001,0.5,0.007682651,0.046982636,12.38061703
18,0.01,0.5,0.076644805,0.451957316,15.47978361
18,0.1,0.5,0.778153486,3.595450572,23.12288278
19,1e-06,0.5,8.1e-06,4.9e-05,6.289270565
19,1e-05,0.5,8.1e-05,0.000488672,7.560943639
19,1e-04,0.5,0.000810496,0.004863323,9.285813089
19,0.001,0.5,0.008097873,0.048229974,11.34775851
19,0.01,0.5,0.081215845,0.461582912,14.39834496
