Index,Trad.RSD1,Reg.RSD1,Prob.1,Prob.2,Prob.3,Prob.4,Prob.5,Prob.6,Prob.7,Prob.8,Prob.9,Prob.10,Prob.11,Prob.12,Prob.13,Prob.14,Prob.15,Prob.16,Prob.17,Prob.18,Prob.19,Prob.20,Prob.21,Prob.22,Prob.23,Prob.24,Prob.25,Prob.26,Prob.27,Prob.28,Prob.29,Prob.30,Prob.31,Prob.32,Prob.33,Prob.34,Prob.35,Prob.36,Prob.37,Prob.38,Prob.39,Prob.40,Prob.41,Prob.42,Prob.43,Prob.44,Prob.45,Prob.46,Prob.47,Prob.48,Prob.49,Prob.50,Prob.51,Prob.52,Prob.53,Prob.54,Prob.55,Prob.56,Prob.57,Prob.58,Prob.59,Prob.60,Prob.61,Prob.62,Prob.63,Prob.64,Prob.65,Prob.66,Prob.67,Prob.68,Prob.69,Prob.70,Prob.71,Prob.72,Prob.73,Prob.74,Prob.75,Prob.76,Prob.77,Prob.78,Prob.79,Prob.80,Prob.81,Prob.82,Prob.83,Prob.84,Prob.85,Prob.86,Prob.87,Prob.88,Prob.89,Prob.90,Prob.91,Prob.92,Prob.93,Prob.94,Prob.95,Prob.96,Prob.97,Prob.98,Prob.99
1,-0.598087191,-0.785329835,0.500377869,0.08349617,0.012685423,-0.059117792,-0.10556073,-0.146919165,-0.179704247,-0.209038824,-0.237695706,-0.261107505,-0.277504225,-0.291772572,-0.311050194,-0.327080841,-0.34270178,-0.35924,-0.372977005,-0.387594788,-0.402504568,-0.414810051,-0.426357507,-0.440781616,-0.454172391,-0.467241754,-0.479803213,-0.492177473,-0.504733877,-0.516234536,-0.527498499,-0.539014204,-0.549904229,-0.561925305,-0.572555523,-0.583387511,-0.593566185,-0.605991565,-0.617769219,-0.628840713,-0.639729866,-0.64986526,-0.660870198,-0.674025901,-0.685917252,-0.696113906,-0.707935334,-0.719501872,-0.730457992,-0.742496038,-0.753441068,-0.761536429,-0.771346079,-0.783033666,-0.794124556,-0.805715208,-0.816486097,-0.828293847,-0.839278874,-0.850760758,-0.860748347,-0.872698483,-0.884327912,-0.897989002,-0.909505255,-0.923795027,-0.937264207,-0.951007956,-0.963828137,-0.9775925,-0.992451518,-1.009167883,-1.025203713,-1.042182529,-1.061001872,-1.08396749,-1.103156287,-1.12146772,-1.143131516,-1.171217292,-1.20230112,-1.232974388,-1.270248111,-1.301221845,-1.349148913,-1.408255398,-1.458831649,-1.515009308,-1.580837799,-1.638864499,-1.695752634,-1.752490033,-1.815000819,-1.87587681,-1.929764515,-1.975436823,-2.033347083,-2.106614596,-2.184693422,-2.294129872,-2.459861584
2,-1.029487096,-2.591064607,NA,NA,-0.070430581,-0.206361989,-0.320166551,-0.397723697,-0.45305709,-0.509275287,-0.554523254,-0.584423699,-0.611790867,-0.63654722,-0.660971826,-0.683998954,-0.70618789,-0.729465598,-0.748299885,-0.768706822,-0.786539724,-0.807308595,-0.826671872,-0.846461917,-0.864647016,-0.881199031,-0.896519427,-0.915727297,-0.931519517,-0.947005483,-0.961447064,-0.978301356,-0.993684697,-1.010515898,-1.025458392,-1.040245123,-1.054357384,-1.067350951,-1.078124128,-1.088341116,-1.10044452,-1.113124666,-1.124676919,-1.135718742,-1.147041143,-1.158234575,-1.169619118,-1.181369696,-1.192986349,-1.205184314,-1.217060523,-1.229733545,-1.241333786,-1.253401075,-1.265226701,-1.276978921,-1.288417829,-1.299882571,-1.312622102,-1.324685186,-1.336774394,-1.349951204,-1.363858149,-1.375383641,-1.391994854,-1.405533158,-1.418931234,-1.432353259,-1.445571056,-1.459733284,-1.474927237,-1.48765259,-1.501905485,-1.520488205,-1.533813781,-1.548696593,-1.562738538,-1.577008891,-1.591874628,-1.605839122,-1.621332812,-1.637958306,-1.657188583,-1.677755513,-1.69440695,-1.714698626,-1.736462912,-1.755651817,-1.777786345,-1.800878715,-1.827480344,-1.854710667,-1.883996078,-1.916182166,-1.943700884,-1.983971113,-2.032377002,-2.0847415,-2.153672487,-2.245901386,-2.391982328
3,0.271039596,0.075720714,NA,1.291949555,1.126020326,0.973366228,0.886319758,0.858381808,0.831617528,0.807812039,0.78363904,0.759024123,0.731027249,0.710216489,0.684743217,0.665603709,0.64536302,0.626288966,0.608525045,0.590172406,0.571618911,0.553929348,0.536102053,0.523141628,0.509557253,0.495485717,0.482297488,0.467910701,0.456021587,0.446389048,0.434554053,0.421395767,0.407047315,0.3957384,0.383288116,0.372166849,0.361287603,0.35097434,0.340481531,0.329205876,0.318832861,0.309484803,0.298372053,0.28907554,0.277586864,0.267897672,0.258080662,0.246159775,0.235165068,0.22391936,0.214624097,0.203656297,0.192417616,0.182838067,0.171397208,0.16114282,0.151922076,0.139197409,0.126645188,0.116883216,0.105321126,0.092918302,0.080114686,0.066523243,0.053147928,0.040018442,0.026712175,0.011930082,-0.0037775,-0.018820812,-0.033212834,-0.047896331,-0.063914378,-0.078592086,-0.094648524,-0.112931228,-0.130287125,-0.148613427,-0.166516962,-0.185858229,-0.207753733,-0.229407337,-0.252324422,-0.280854366,-0.307918862,-0.344088974,-0.374862454,-0.409911184,-0.448415311,-0.489744689,-0.53661624,-0.596172084,-0.648526556,-0.70646637,-0.754637389,-0.81390314,-0.879100125,-0.959320696,-1.040542576,-1.14222764,-1.296025465
4,0.69523183,0.086186148,1.502110133,1.130652252,1.09209318,1.046880895,1.002439813,0.964890083,0.925658076,0.886863389,0.849597599,0.818691216,0.786928778,0.761479123,0.735232529,0.711908967,0.690358559,0.672812069,0.656207544,0.634366448,0.620896263,0.608247556,0.598154565,0.586825338,0.576021622,0.56604928,0.554756041,0.543565934,0.532049462,0.520787155,0.50803578,0.495053046,0.481957329,0.469390087,0.456208153,0.444171352,0.4320462,0.419569585,0.408674035,0.396288621,0.384027383,0.373258379,0.360334079,0.347541625,0.333462365,0.322539156,0.309957787,0.297735491,0.284863329,0.272365921,0.258515325,0.245961424,0.232736442,0.219046225,0.204820132,0.190261287,0.174740284,0.162532032,0.146108861,0.130741202,0.117827497,0.104364891,0.091671269,0.077131212,0.061024724,0.045801042,0.031309557,0.015547732,-0.002796206,-0.018776828,-0.037892042,-0.059085713,-0.079910862,-0.106195476,-0.132173053,-0.159046389,-0.187493888,-0.218260704,-0.253577947,-0.295284735,-0.329857351,-0.369389533,-0.407280399,-0.444996116,-0.49557931,-0.536138879,-0.578310534,-0.613682746,-0.659157962,-0.6972741,-0.744087886,-0.790955836,-0.831850692,-0.877356299,-0.917107097,-0.964005018,-1.02620252,-1.080380474,-1.151766107,-1.23384119,-1.371536256
5,-0.87965785,-1.017033339,-0.302241058,-0.395718943,-0.453809916,-0.500073171,-0.539498822,-0.568241622,-0.595450988,-0.617060601,-0.639946849,-0.662991678,-0.683241741,-0.702347634,-0.719533078,-0.738471187,-0.758228816,-0.775250667,-0.790638266,-0.804588451,-0.820914038,-0.834243774,-0.849266421,-0.865568974,-0.876641706,-0.887488581,-0.898061754,-0.910050719,-0.920140126,-0.930976557,-0.940942111,-0.951195259,-0.961259119,-0.971260494,-0.980005631,-0.989800467,-0.99960047,-1.009840907,-1.01854814,-1.02774793,-1.036080363,-1.045949832,-1.056674206,-1.066227796,-1.074703252,-1.083435547,-1.091885967,-1.099885221,-1.108580436,-1.118063248,-1.128605664,-1.137745491,-1.146105038,-1.154924397,-1.162806945,-1.172107023,-1.182567947,-1.193345959,-1.20270725,-1.213837255,-1.223815152,-1.234922973,-1.246586883,-1.259186667,-1.269046339,-1.28014817,-1.291678364,-1.305592832,-1.318395071,-1.329395631,-1.341203833,-1.35113947,-1.36245382,-1.374095259,-1.384805938,-1.394052761,-1.404507815,-1.413710375,-1.42417234,-1.435967702,-1.4490228,-1.460957317,-1.473347858,-1.485613326,-1.499906425,-1.516123644,-1.532508086,-1.548319382,-1.564842718,-1.582006169,-1.601192469,-1.622413527,-1.644007924,-1.67314708,-1.706739792,-1.740037033,-1.773936201,-1.815771708,-1.874031153,-1.947123115,-2.050333904
6,0.16984054,-0.69019608,0.63031938,0.539383712,0.480745742,0.436213946,0.398468812,0.366723607,0.336884923,0.31174657,0.28848325,0.262380925,0.242623896,0.219198131,0.202341397,0.18342418,0.165679874,0.149954907,0.130750124,0.115216806,0.10271873,0.088238551,0.074115955,0.060769997,0.047562947,0.034866624,0.022840354,0.011633802,-0.001416302,-0.01463255,-0.026633898,-0.038362497,-0.051350871,-0.062492952,-0.074002565,-0.085476568,-0.09578745,-0.107074639,-0.118121554,-0.130265203,-0.1405559,-0.151871339,-0.162827533,-0.173442949,-0.183978267,-0.19458891,-0.206669202,-0.217848032,-0.229882096,-0.242521448,-0.254184028,-0.265157868,-0.276650934,-0.287906546,-0.301155916,-0.313522365,-0.327696146,-0.340996072,-0.355813968,-0.369967984,-0.383022622,-0.396580828,-0.411617596,-0.425920468,-0.441830716,-0.457053075,-0.473880269,-0.488951221,-0.505175852,-0.520084414,-0.536766102,-0.552729582,-0.571751734,-0.590404747,-0.610336589,-0.629696565,-0.651216429,-0.67457003,-0.693018619,-0.715375376,-0.738460186,-0.767080634,-0.792496337,-0.819744895,-0.847375927,-0.875245755,-0.898226245,-0.922018232,-0.949747615,-0.979556125,-1.008926631,-1.03961031,-1.07216494,-1.108639026,-1.146747401,-1.184364234,-1.235644349,-1.286900726,-1.341856447,-1.411293455,-1.551722088
7,-0.386444798,-0.903089987,0.198508625,0.101336448,0.04697493,0.003322164,-0.029851639,-0.060062367,-0.091629242,-0.115168458,-0.139018068,-0.157794314,-0.177155894,-0.19496739,-0.213088934,-0.229544978,-0.244418339,-0.258945561,-0.272766733,-0.286675,-0.299134239,-0.310863428,-0.327001027,-0.34000877,-0.351022146,-0.363552362,-0.375446363,-0.386866034,-0.39779842,-0.409496101,-0.419797461,-0.429417942,-0.439952643,-0.448033513,-0.458483396,-0.468708125,-0.476848316,-0.485262791,-0.493657178,-0.502302109,-0.511341703,-0.519256228,-0.527722926,-0.53684796,-0.546009668,-0.555530357,-0.562920986,-0.570656874,-0.579637959,-0.587913455,-0.596514808,-0.604997925,-0.614301219,-0.622410314,-0.631858822,-0.640474964,-0.649839395,-0.658231791,-0.666657156,-0.676142746,-0.686181619,-0.695561701,-0.705311382,-0.713935584,-0.723306866,-0.732188517,-0.741654071,-0.750523048,-0.760402887,-0.770150505,-0.781133688,-0.790496127,-0.801434454,-0.812786996,-0.824220069,-0.838430057,-0.8504433,-0.863451621,-0.877012705,-0.888060745,-0.898356112,-0.911714594,-0.924355953,-0.936396227,-0.950335244,-0.965041046,-0.978955055,-0.993283808,-1.007336444,-1.024053186,-1.046269324,-1.066945433,-1.092092928,-1.11546237,-1.139894456,-1.170657535,-1.211280442,-1.257628621,-1.317054467,-1.383647868,-1.513744992
8,0.110179583,-0.62324929,0.575621771,0.494067957,0.430654378,0.384685453,0.348744083,0.318806769,0.292910914,0.264303849,0.237762712,0.219172272,0.196665712,0.176737737,0.158974055,0.140219572,0.125636604,0.111193014,0.096071357,0.081847417,0.068316765,0.05595232,0.044095514,0.033009863,0.020027171,0.009447914,-0.002143335,-0.013298152,-0.024200266,-0.034667632,-0.045642712,-0.056611129,-0.06704879,-0.077442618,-0.087310632,-0.09766102,-0.107131275,-0.117630178,-0.125612858,-0.136378668,-0.148432738,-0.159639111,-0.170770632,-0.181600113,-0.19150971,-0.202291964,-0.21277896,-0.224169229,-0.235073448,-0.246723325,-0.258605413,-0.26957813,-0.278652442,-0.292958047,-0.305924392,-0.317372952,-0.328947288,-0.339816006,-0.35466329,-0.367490126,-0.380062289,-0.390580677,-0.401115718,-0.411301985,-0.423523921,-0.435586852,-0.448701897,-0.462179388,-0.476620823,-0.491612645,-0.505446411,-0.519950721,-0.535435199,-0.550109601,-0.56831066,-0.585940238,-0.604994343,-0.623367849,-0.644004083,-0.664009172,-0.685056385,-0.710156129,-0.730997395,-0.755769604,-0.779644448,-0.808786599,-0.839393462,-0.870063325,-0.90187168,-0.935958299,-0.965373652,-1.00054835,-1.035800021,-1.074733386,-1.113282508,-1.159118015,-1.212567779,-1.274827713,-1.341135727,-1.436636472,-1.560016971
9,0.017767824,-2.079181246,0.403068321,0.272067577,0.185057084,0.122794295,0.10563479,0.087562381,0.068862914,0.048391058,0.03141896,0.014314755,-0.000389049,-0.014331246,-0.028527998,-0.043881618,-0.058298682,-0.072709203,-0.085947707,-0.100326817,-0.11413026,-0.129282588,-0.144188507,-0.158613705,-0.171776284,-0.186255592,-0.199824928,-0.214701208,-0.229132648,-0.244054329,-0.258411277,-0.273838237,-0.28791041,-0.304098602,-0.319933802,-0.331950135,-0.345135686,-0.358480799,-0.368204483,-0.373029594,-0.379033076,-0.384235854,-0.390292874,-0.396546601,-0.402877146,-0.410612438,-0.417305962,-0.424613805,-0.432957148,-0.440576879,-0.447243919,-0.454142502,-0.460918389,-0.467856894,-0.475644812,-0.482187738,-0.490000009,-0.498715581,-0.506992152,-0.517388709,-0.525441205,-0.532898576,-0.542665314,-0.553008444,-0.562886261,-0.572969777,-0.583008229,-0.594562407,-0.605360494,-0.615390418,-0.628348147,-0.640478271,-0.654012785,-0.666721625,-0.679764168,-0.692453814,-0.704821054,-0.719122054,-0.733356822,-0.750086561,-0.764750932,-0.780791613,-0.800486465,-0.818826775,-0.836825083,-0.858734529,-0.874840733,-0.890433283,-0.908425463,-0.92645034,-0.945792162,-0.965012495,-0.986176683,-1.014281213,-1.042654549,-1.075233069,-1.115365727,-1.166442627,-1.227874525,-1.306020033,-1.437280565
10,-0.29328732,-1.86332286,NA,NA,0.654697152,0.410645373,0.308589709,0.228939352,0.168687343,0.111551879,0.076330648,0.041619917,0.007373207,-0.020673147,-0.049751771,-0.06605983,-0.081968905,-0.099141653,-0.115591471,-0.133862594,-0.150243499,-0.165594108,-0.181799804,-0.197438865,-0.212304695,-0.227946456,-0.243932074,-0.256900055,-0.272051875,-0.285780734,-0.29998858,-0.314316477,-0.328491456,-0.340823392,-0.35389499,-0.366383501,-0.378727169,-0.392100729,-0.403855515,-0.415797173,-0.430132219,-0.44278666,-0.455920218,-0.469368143,-0.480933194,-0.493008174,-0.505496533,-0.518863305,-0.53175477,-0.544259887,-0.557171827,-0.567825367,-0.58046942,-0.593172533,-0.604347764,-0.61599693,-0.630428288,-0.642150777,-0.654287935,-0.667953275,-0.68169759,-0.696370392,-0.709183413,-0.723456187,-0.739800319,-0.756900758,-0.771769958,-0.789216173,-0.805514075,-0.821955966,-0.837447094,-0.857075282,-0.876973571,-0.896990622,-0.916533771,-0.939004917,-0.964370027,-0.989440953,-1.017818069,-1.046056161,-1.076960572,-1.108264622,-1.143461305,-1.177030019,-1.212356772,-1.248672523,-1.290277783,-1.323488994,-1.361555489,-1.397569095,-1.433540598,-1.482773072,-1.525212307,-1.566861144,-1.606314225,-1.656356894,-1.711320701,-1.781390968,-1.854042636,-1.95437753,-2.109603047
