"","Dataset","X1.","X2.","X3.","X4.","X5.","X6.","X7.","X8.","X9.","X10.","X11.","X12.","X13.","X14.","X15.","X16.","X17.","X18.","X19.","X20.","X21.","X22.","X23.","X24.","X25.","X26.","X27.","X28.","X29.","X30.","X31.","X32.","X33.","X34.","X35.","X36.","X37.","X38.","X39.","X40.","X41.","X42.","X43.","X44.","X45.","X46.","X47.","X48.","X49.","X50.","X51.","X52.","X53.","X54.","X55.","X56.","X57.","X58.","X59.","X60.","X61.","X62.","X63.","X64.","X65.","X66.","X67.","X68.","X69.","X70.","X71.","X72.","X73.","X74.","X75.","X76.","X77.","X78.","X79.","X80.","X81.","X82.","X83.","X84.","X85.","X86.","X87.","X88.","X89.","X90.","X91.","X92.","X93.","X94.","X95.","X96.","X97.","X98.","X99."
"1",1,-5.58133665317769,-5.39653503584389,-5.27432328197504,-5.18185384433962,-5.09971699593302,-5.04341617820766,-4.99610143761468,-4.93353032383645,-4.89162784272076,-4.8377616683726,-4.77790927983872,-4.70229574648565,-4.62264448993723,-4.57943876892087,-4.48050431877119,-4.39838434558734,-4.34729094932112,-4.29230420736197,-4.21683636761656,-4.17487634736527,-4.12942777426727,-4.09460311222819,-4.05900997600766,-4.03126924140286,-4.00625727679361,-3.98681790994808,-3.96404039044267,-3.93604457232281,-3.91083397590745,-3.88890104150938,-3.86300308021162,-3.83803367534551,-3.81840821058479,-3.79733852883352,-3.77938998984082,-3.76552867029689,-3.74200470632485,-3.72273956368618,-3.71448810006095,-3.69299900087179,-3.67391634644661,-3.65692523821455,-3.64311974095533,-3.62061093750289,-3.60415201378908,-3.5937279861669,-3.57384901911382,-3.56150776648037,-3.55212138498509,-3.53787927113273,-3.522360284643,-3.50751894609644,-3.48380274695566,-3.4702760481119,-3.45309050502205,-3.44049523953598,-3.42470486494359,-3.412838569443,-3.40014790048435,-3.38217202024395,-3.36204345839451,-3.34198305030137,-3.3227705294946,-3.30640874703733,-3.28643160064262,-3.27125048501957,-3.25545435238021,-3.23336659133727,-3.21173379175733,-3.18656754731987,-3.16417156070344,-3.14749172532166,-3.11845992578139,-3.0904881278938,-3.07091551214713,-3.03846615810461,-3.01772618486518,-2.99463830725611,-2.9634050666932,-2.93857029950275,-2.90575243271396,-2.85510970748399,-2.822973177347,-2.76447440031833,-2.70729982066649,-2.63256311724656,-2.57714937580925,-2.5033481126401,-2.41349574649974,-2.31514634457318,-2.16553321846894,-2.06458506467836,-1.90888788120943,-1.8063333233425,-1.6782374493556,-1.50457021349865,-1.35751919373848,-1.18230905623785,-1.02094616167186
"2",2,-5.41532833382699,-5.23199479200109,-5.12168937781686,-5.02156687687525,-4.96721491401844,-4.90450719956675,-4.85300589351079,-4.82274044744791,-4.78874653678935,-4.75126872055067,-4.71901862141631,-4.68265218012056,-4.63555662739943,-4.61295296576101,-4.57805982437839,-4.54859545817053,-4.51955308529826,-4.49871104239055,-4.47646519924875,-4.45048324054309,-4.42429291345852,-4.39442606952014,-4.36754701909221,-4.33890286127097,-4.31074027984745,-4.29772753407693,-4.27429671495783,-4.25637516521055,-4.22749077024436,-4.21215367452203,-4.19304896475528,-4.17972517912843,-4.15784807987774,-4.13448589531425,-4.11191711480356,-4.09223659385384,-4.06479057353196,-4.03153514253679,-4.00298257937616,-3.98093160132798,-3.95701706487799,-3.94348717847083,-3.91945897128209,-3.90206035164322,-3.88428809310616,-3.86222208224279,-3.84464478557504,-3.82148844957773,-3.80377301677508,-3.7741246454698,-3.7464191867448,-3.71946219439549,-3.69009389807932,-3.65457122925741,-3.63034452587184,-3.59510314379445,-3.56711344085517,-3.52223000337439,-3.48186125404567,-3.44459220991929,-3.41605533255456,-3.38870911772728,-3.35273166281898,-3.29592101807044,-3.23927030338462,-3.18189423048894,-3.11483008825789,-3.05281942184936,-2.99390642829665,-2.92607439438254,-2.84904386075437,-2.79256113134405,-2.69087897215577,-2.64310257992564,-2.59100337143605,-2.54661398374025,-2.50169692240056,-2.44994489484116,-2.39697788117159,-2.33281238899613,-2.28915228053808,-2.2445941637903,-2.19699393888345,-2.14746133498582,-2.10743012510735,-2.06850057214332,-2.02762113087907,-1.96161413752253,-1.90780586341169,-1.8536802429706,-1.81006419677844,-1.76952800126842,-1.73144676189516,-1.66848744142334,-1.63722754782709,-1.55812057585562,-1.47116454300237,-1.35989398940974,-1.17872192883741
"3",3,-4.51153464052165,-4.29326613158991,-4.13982120344356,-4.0564443280256,-3.98864280702971,-3.90541326905612,-3.83453374265377,-3.79322684620588,-3.74159305377446,-3.67166238704923,-3.61486981355024,-3.56099982344035,-3.50041978059589,-3.44940718866227,-3.39535850676664,-3.32565537537797,-3.29680427866741,-3.26147505297179,-3.2302608350822,-3.20735659204972,-3.16913168953786,-3.1474331193714,-3.11403221970038,-3.0880452097105,-3.07005837019752,-3.05424687587684,-3.02941277648075,-3.00894070838291,-2.98974546075213,-2.97187793963278,-2.94884151836162,-2.92698209022793,-2.90602243246948,-2.89105530941632,-2.87235832594896,-2.84651822962777,-2.83113708176189,-2.81800966753968,-2.80648686194003,-2.79650428621644,-2.78293718331014,-2.76536755613279,-2.74469044082315,-2.7237332000667,-2.69833080023948,-2.68726719198576,-2.6747350141481,-2.65819309376764,-2.64021605322829,-2.62163378645875,-2.60950544016525,-2.59644512764328,-2.57469282206662,-2.56018717851008,-2.54091233090993,-2.52837849901401,-2.50824893123935,-2.49352236303186,-2.4750437737108,-2.46253088496079,-2.45028485419332,-2.43409099314946,-2.41491580866243,-2.39849827157896,-2.3783957775358,-2.36536247192457,-2.34136532123028,-2.32252420740457,-2.29679193366032,-2.27436270797281,-2.25955307732485,-2.23672651133558,-2.20659672013098,-2.1837557836959,-2.16005882906834,-2.13061635568587,-2.0885894418076,-2.05968993581823,-2.03138438601096,-1.98449011325285,-1.93704767860041,-1.87713698827666,-1.82060276886335,-1.74308016237936,-1.65282776600197,-1.55822657571942,-1.47277602045141,-1.37255513657042,-1.25018175884727,-1.0938031703494,-0.976196596387823,-0.855870547108857,-0.708183611700464,-0.615982912887942,-0.479238417485903,-0.385429592083814,-0.223452743878479,-0.0669345882665541,0.101955731281283
"4",4,-4.46783109436618,-4.34758534451788,-4.20776479018835,-4.11968957434619,-4.08927013643127,-4.0470481265688,-3.99435513703335,-3.95191248520056,-3.9233250900693,-3.86915292752293,-3.80480985762243,-3.74818081880128,-3.69891358551583,-3.65161499326313,-3.58763700049847,-3.54490061791923,-3.46457176350363,-3.36777736478469,-3.26111520430927,-3.14762751259795,-3.04244766575802,-2.95662732084175,-2.90914413162599,-2.85992346170231,-2.82144602068735,-2.76159850387308,-2.7290129685159,-2.680765656995,-2.61561005324284,-2.56319763678686,-2.53912202868265,-2.48785483635747,-2.46587075649327,-2.43547837271729,-2.41555953666649,-2.37248743364286,-2.34198632903514,-2.32015021343908,-2.29381796258454,-2.26307487341098,-2.23910190811919,-2.2065903951375,-2.18146466303703,-2.15573597271942,-2.12745153654995,-2.09903589024342,-2.06070403915956,-2.02403135562124,-1.99049974340017,-1.95157352611933,-1.91298851223941,-1.87889453280886,-1.8583036784917,-1.82146732517438,-1.78570799138087,-1.73887160890061,-1.70602464394995,-1.65923467335726,-1.59798688404205,-1.55858727007251,-1.50366281200836,-1.46418187891135,-1.39480012355284,-1.34070336120667,-1.27300278859262,-1.20824572439472,-1.13103185709487,-1.08120268919202,-1.04189259585608,-0.978170702981358,-0.903950457317312,-0.861673212582728,-0.813320663077351,-0.777241576475577,-0.724661670668398,-0.689690329520322,-0.655096842775735,-0.612488098949985,-0.590388647781943,-0.560063144895043,-0.526849801684189,-0.493304775790707,-0.460905055035915,-0.436046240757816,-0.391137805725843,-0.358667613236534,-0.311462052789896,-0.271654006598733,-0.216847235660673,-0.173128388620197,-0.130532707432955,-0.108988873055842,-0.0538183895033853,-0.00330757188584969,0.0568739269741119,0.114530995293377,0.191590647926591,0.279002880911585,0.412088650205533
"5",5,-5.34429194336607,-5.08578338281151,-4.96629097358018,-4.89019229225685,-4.82855343247572,-4.77619255550282,-4.74317966394375,-4.69764442565828,-4.67019864470254,-4.63968771723578,-4.61458479063243,-4.59060854122812,-4.5617359507454,-4.5364936725925,-4.51146738495767,-4.48404066727017,-4.46753421977546,-4.45160871422745,-4.4327579557076,-4.41183417595826,-4.39158827022515,-4.37487590165598,-4.35888842129458,-4.34336503126551,-4.32860186648328,-4.31838480100931,-4.3065934555173,-4.28535843430067,-4.27248972171103,-4.25884449758418,-4.24273228087385,-4.22855210401096,-4.21873142738151,-4.20604070537536,-4.19590158311886,-4.18738798457219,-4.17368616013989,-4.16039168120393,-4.14923130924564,-4.13553179564487,-4.12484532982088,-4.11588902884912,-4.0993225434441,-4.08236916042504,-4.06950012959785,-4.0565487317956,-4.04278809466931,-4.0307088423764,-4.01627261599147,-4.00500876053518,-3.99263851048777,-3.98388298223759,-3.97298979862398,-3.96241448332065,-3.94820276890491,-3.94223710229906,-3.93245743950231,-3.92107230700812,-3.90752765521392,-3.89486068394495,-3.88482431203096,-3.87282542897184,-3.863168206837,-3.85035011379361,-3.83862710137991,-3.82358137248674,-3.81032326398168,-3.79674382089119,-3.77967371481778,-3.7642213435389,-3.74945605543462,-3.735247952754,-3.71877057556433,-3.69856218774127,-3.68113637379114,-3.66697751942639,-3.64953232249769,-3.63481300749161,-3.60835073121893,-3.59071446872919,-3.57371457841289,-3.55352902019686,-3.52967009938685,-3.49939683240112,-3.4749150143478,-3.4482736852706,-3.41658635216283,-3.38964961036981,-3.36413660898988,-3.33800451221025,-3.31561814303852,-3.28208581891611,-3.25211515280324,-3.18414586743468,-3.13440990136654,-3.07018946612139,-2.98869636653023,-2.82460325617158,-2.64051410006916
"6",6,-4.77061688765306,-4.53361442604812,-4.42546004946019,-4.35458965353406,-4.28575892783762,-4.25051212655292,-4.19177348612343,-4.1593636559391,-4.11172343412556,-4.06973905578194,-4.02912629976932,-4.00174181818634,-3.96913537840791,-3.93954807332275,-3.8948999551682,-3.86412066181478,-3.81227938068862,-3.77715673147101,-3.75357585828107,-3.71512838983668,-3.68986482202735,-3.66983935467477,-3.63728786526889,-3.59957949567581,-3.5601693000344,-3.52802427094685,-3.50260664811118,-3.46068085469377,-3.42710169359218,-3.39670780896579,-3.37338067937881,-3.35112272171237,-3.33046765429205,-3.29440644955891,-3.26312655157099,-3.23060493236714,-3.21409110182306,-3.18828749345661,-3.1666312886469,-3.15045966622253,-3.12730541843949,-3.10413062758961,-3.08480070266072,-3.06646050101218,-3.05281474014805,-3.03513832437242,-3.0209655384126,-3.00777245502656,-2.99410826853073,-2.97876109231738,-2.96269452280832,-2.94752047121625,-2.93340876017931,-2.92178425289572,-2.90725863825687,-2.89053616065467,-2.87851471387542,-2.86406708927123,-2.85095455690109,-2.83736889689309,-2.82220769354109,-2.80350072912866,-2.78165008358801,-2.76834893740646,-2.74096777291199,-2.71510923524419,-2.69699900165472,-2.67675472657227,-2.6670745154878,-2.64405782653884,-2.62626392231847,-2.60983456290649,-2.58423859541832,-2.56400431200736,-2.54663883897736,-2.5230960146636,-2.48934669600511,-2.47187765719297,-2.4396530966391,-2.39358092722194,-2.35928178251475,-2.32275414480957,-2.29777766890062,-2.25019456556732,-2.20213913510017,-2.17216537698176,-2.11734448731,-2.04773726646816,-1.97376609197841,-1.90393150041031,-1.82611715382179,-1.75093554684177,-1.66605234889184,-1.56387161830624,-1.47448858218216,-1.31748137218601,-1.15591891400955,-0.956091664443181,-0.747170039219386
"7",7,-4.83293291411393,-4.55272805032083,-4.44616951236353,-4.37085329820291,-4.30473642918946,-4.24220978967185,-4.21370638642496,-4.16128820860087,-4.13868681249909,-4.10953420376886,-4.08164907523946,-4.06381738716155,-4.04021233683026,-4.01432490350049,-3.9967093107784,-3.97960156700085,-3.96205550854599,-3.95142139973506,-3.94161494894769,-3.93055595059137,-3.91270662933582,-3.89939858647984,-3.88370722418926,-3.87371607607966,-3.8625268722945,-3.85478133496429,-3.83783575183437,-3.82781882419933,-3.81923108598508,-3.80748099021153,-3.79727285178378,-3.78593805339791,-3.77611843426485,-3.76803563048441,-3.76021992295189,-3.74964385836533,-3.73857567808069,-3.72623520162149,-3.71741976304082,-3.70456134373705,-3.69097650530658,-3.67922101758329,-3.67380726949596,-3.66567922848246,-3.65699816377161,-3.65064203128516,-3.64081892571198,-3.63013864949262,-3.62175509979658,-3.61151031865787,-3.60024476900244,-3.58686658615052,-3.57464875488718,-3.55558968812382,-3.54360622111092,-3.53412290912998,-3.52493425042191,-3.51466813991941,-3.50270308502114,-3.49220853370491,-3.48041482877576,-3.47172355713981,-3.46182392840041,-3.44879842775639,-3.43924865248687,-3.43008531446653,-3.41751762262548,-3.40523656269159,-3.390442809509,-3.37741327941544,-3.36459582786144,-3.35631647698872,-3.34714858895142,-3.33279964962855,-3.32176120326848,-3.30419675853904,-3.29193884350109,-3.27711413790302,-3.26143155282387,-3.24556178100362,-3.23012806173122,-3.21968161780861,-3.20263433393846,-3.17138952061557,-3.15217415369855,-3.12930867640334,-3.09876953320408,-3.06668488620388,-3.03392273186671,-2.98708822493988,-2.94807966327903,-2.8988265420309,-2.85243504046892,-2.80930660072669,-2.72515526525657,-2.65480893995985,-2.53328351053708,-2.2916025430024,-1.92633276482822
"8",8,-4.70560545751406,-4.48117872033086,-4.36701864615497,-4.28089589952102,-4.21607629065152,-4.16443473968497,-4.10929522289049,-4.05894481201266,-4.012406898967,-3.96933659504914,-3.91181648859827,-3.86902892302476,-3.81538461743015,-3.7706330317027,-3.7147747323966,-3.67459097969383,-3.61927700426968,-3.5885471827116,-3.56340507429489,-3.51810483155011,-3.48869472079462,-3.45667609055286,-3.42474724716302,-3.39098837139669,-3.35718623571529,-3.32608652863241,-3.29983900799933,-3.27734123583446,-3.25694800572958,-3.24149109878422,-3.22629706305362,-3.2126927805081,-3.19982642810313,-3.18244293894183,-3.16250580607955,-3.14970357682754,-3.12154127399603,-3.09851678474329,-3.0821764688304,-3.06891093053575,-3.05069841285993,-3.03877456692182,-3.02335034358578,-3.00860450358551,-2.99462499602965,-2.98202685250728,-2.96984140557267,-2.95397733802944,-2.94447526062328,-2.92667007205312,-2.91250821727486,-2.89583486538335,-2.87908850271446,-2.86006204969492,-2.84624071252888,-2.82843086543782,-2.80942461370022,-2.78676528404329,-2.76802332675305,-2.75342721751453,-2.73672080783729,-2.71991644773037,-2.70870135812224,-2.68909454338379,-2.66506240644667,-2.64871852617021,-2.63143410255674,-2.6214342598367,-2.59504576459201,-2.57444383445009,-2.54567011874004,-2.5210168718628,-2.49135881187326,-2.47123913622445,-2.44177296313474,-2.41670753159117,-2.38201690785112,-2.34060613696927,-2.30321529888051,-2.26633722391085,-2.23129887164951,-2.19812057479827,-2.17068975109961,-2.14331639487931,-2.09242242716846,-2.04558796349827,-2.00907879504182,-1.95919132324464,-1.90397690168865,-1.84972587961439,-1.751796310843,-1.68153949930697,-1.61475126172635,-1.51502204321106,-1.4176872483594,-1.29828581062208,-1.21023074301517,-1.08341361621991,-0.903255099860897
"9",9,-5.21148317152822,-5.05315274962075,-4.92828773870977,-4.8679176454891,-4.7820603467442,-4.706711739216,-4.64616359867951,-4.59627803341979,-4.55239595830908,-4.50044133344341,-4.45395549376324,-4.39870000547366,-4.34395418624583,-4.29002019706956,-4.23744737532718,-4.17068298817444,-4.11461589784252,-4.04487724974949,-3.96595489999916,-3.90989344542709,-3.8614526019869,-3.81354942040198,-3.74797000881836,-3.70285519960083,-3.66822006348866,-3.64240434954066,-3.61568893254045,-3.57655440887705,-3.55048809143171,-3.52958681018515,-3.50029549532073,-3.47378643495765,-3.44807450106647,-3.42018204465113,-3.39531818715972,-3.37780553441854,-3.3593874706878,-3.32395691775801,-3.30061756177801,-3.27561245949432,-3.25097706778177,-3.2322883496525,-3.20615705702609,-3.177921989565,-3.15189167955822,-3.12738408167822,-3.10051868126567,-3.08258611331043,-3.06422543469816,-3.03159516736548,-3.00086628970222,-2.98139091479597,-2.95299028487499,-2.92325577960876,-2.88292399253627,-2.85360114133523,-2.81350999701512,-2.78157137465154,-2.73042977736804,-2.69261212274343,-2.65760141034918,-2.59642048002695,-2.54396916812422,-2.45944229329892,-2.37956211165442,-2.31640075481748,-2.22579008626906,-2.15065177540418,-2.060956590339,-1.99886352745926,-1.91216174453534,-1.85628938601693,-1.80412197148987,-1.74386676351928,-1.67944278692583,-1.63666612532926,-1.58615412756106,-1.55634764151312,-1.50634957324901,-1.47307671400123,-1.42267924009677,-1.37823834553251,-1.34750103124524,-1.30565212107893,-1.28318797325655,-1.24148881048119,-1.20328239144058,-1.16240555780783,-1.11542522580167,-1.06474849421233,-1.01909215947263,-0.980374984889934,-0.913738126297722,-0.855803987649613,-0.780925991060223,-0.711351937595371,-0.637348416777408,-0.540829537612543,-0.383019240779083
"10",10,-3.75997066366146,-3.06643326979766,-2.79405415523389,-2.6026129983801,-2.46828089240248,-2.3621775172771,-2.29849832752346,-2.26455785830102,-2.2133930439583,-2.12114760190952,-2.08277449116973,-2.01879507690118,-1.98125410540246,-1.95004216610188,-1.90312432771087,-1.86591298742135,-1.84397026437645,-1.82070913064668,-1.79574695482155,-1.75880732762861,-1.73835127026588,-1.71997370669965,-1.69915201624218,-1.66489743066634,-1.6359536215801,-1.61026085496872,-1.59278003609955,-1.57519420692395,-1.55516974527008,-1.536405091575,-1.51578838743183,-1.50009751169851,-1.48505905037675,-1.46833258722343,-1.4544888497884,-1.43686024207923,-1.4097679575506,-1.39195550285551,-1.3787430811946,-1.36426870856279,-1.34741667229324,-1.33212103482354,-1.31879829496322,-1.30647842274231,-1.29247805017361,-1.27786973395389,-1.26305267616928,-1.25046424450423,-1.24122299682056,-1.22903720747308,-1.21703966809865,-1.20088372315338,-1.18924657254798,-1.17815021798152,-1.16179691475613,-1.14946164000114,-1.13641863710914,-1.12651118118399,-1.11090907592463,-1.09831680302217,-1.08423415417424,-1.06934168311762,-1.05881172787959,-1.04380768032553,-1.02774075219639,-1.0152855615787,-1.00311370166186,-0.990115600457882,-0.976425105957609,-0.958666350591863,-0.94819386130437,-0.937643326897921,-0.924190245525886,-0.911743628881205,-0.897109206377563,-0.879663168756772,-0.866851858183255,-0.852532456171214,-0.829936424344471,-0.809569652443617,-0.797961137414046,-0.787616649727321,-0.769636001864205,-0.75287041478499,-0.728739842037211,-0.706049579336204,-0.691527929168928,-0.674037289848215,-0.653791481003408,-0.609883551728512,-0.591664959944369,-0.564776915484414,-0.53487953979069,-0.489706122306554,-0.439014576469645,-0.406233977129019,-0.352058037649322,-0.303119437862101,-0.19135555937692
