Dataset,RSD.log10sd,RSD.log10mad,RSD.log10iqr,RSD.log10ci90,RSD.log10ci95,Model,sigmaH,DAF,AHU,Residuals
1,1.32151568525603,0.664697537837498,0.906153764264229,5.09376342317893,5.79910653690669,0.791154831542796,0.0275721311940175,0.00226960872872536,0.0445893515863322,0.111336009444357
2,1.83143488455934,1.17517039036348,3.40889779258308,5.20856811816498,5.60021412032172,0.892448455885442,0.0261137070863473,0.00186284753023255,0.0258053256066378,0.0508748510273385
3,1.4198967204857,0.677848882248659,0.935922258117039,5.14886955949322,5.71131466756659,0.792684085674694,0.026650905296019,0.00305298105166827,0.0401995711430154,0.127113598269054
4,2.07776273920253,2.42296410135708,3.82580543398477,5.98239136768554,6.36829052092453,0.914163589672867,0.0255578030446567,0.00111117498178573,0.0202383618466566,0.0314357108414243
5,0.62069818093492,0.563258090352207,0.766010738631717,1.97424304958521,2.45883966125424,0.00559357266068116,0.0880149020658681,0.0155426858242098,0.221062208963821,0.670514421333423
6,1.19249168105547,0.801601162289235,1.08106617701475,4.03410787823589,4.89997971981647,0.794013082071317,0.0287432252666673,0.00284841519135983,0.0600159696958239,0.087453386224474
7,0.647556626980415,0.438136757150548,0.589344738145893,1.71776060073068,2.41991267181583,0.493356179626607,0.0702924891654251,0.0151160603007139,0.205506637148426,0.204099171802368
8,1.16598391337804,0.72634025747922,1.00761268180375,3.99193516950394,4.82592760981438,0.823096852050132,0.0320723660703307,0.00477919839945863,0.0628703980550801,0.0478708868351279
9,0.676444162370145,0.549589856900778,0.743817572105841,2.0821281376017,2.73683784346843,0,0.657969991197277,0.0132878002898185,0.183021351512973,0.10964130289865
10,1.96381148845829,1.76675994527007,3.56484995172029,5.7762035331858,6.13765986623593,0.905773431328584,0.0261436318652908,0.000286656276327494,0.0195478974896182,0.0437723240840374
11,0.676714387019929,0.548124691374286,0.748796733985489,2.08410636975352,2.71600016436343,0,0.661173191866323,0.0138754670909353,0.183910515269908,0.1047790157291
12,1.43477788173487,0.81385476853022,1.59927094617415,4.6837110781932,5.21234510690178,0.703012550047738,0.0228477704145588,0.000943447870482212,0.0340386424885523,0.211759538906335
13,1.21261336371819,1.01406037852851,1.45014797122831,3.82988859355179,4.76623956649609,0.000666125830282841,0.0688101088314453,0.00148174417186541,0.0570814178200341,0.865826995765161
14,1.60754434278615,0.848307714513792,1.15564463586953,5.51951998306386,5.97828825625085,0.810427970052654,0.0212083689439,0.000583320355594927,0.031973610888042,0.118113906887952
15,1.90209142207921,1.75483191896636,2.49028598402691,6.02983696135514,6.46363900506707,0.87901896404161,0.0172693039785326,0.00118860001332231,0.0224516145659958,0.0702829754587755
16,1.7668200141598,1.91544677814818,2.6115328037331,5.5763075257858,6.11348825149062,0.909364611227447,0.0202854040678571,0.00102581061672279,0.028094988042538,0.0479546803518807
17,0.565431788489988,0.466822016287252,0.633593111777151,1.70803171913326,2.22032423479124,0.186031310508136,0.102890081124639,0.00868262653108727,0.259471209505215,0.430845371316144
18,1.73311882807172,0.70767548683384,1.06960387252479,5.70576834605416,6.13327382853061,0.837891504969427,0.0196348619504777,0.000641525623129127,0.0288089960228524,0.107682427376819
19,1.67256163061064,0.727239594234495,1.06739270736259,5.68528287969726,6.14890634732379,0.849643029156367,0.0179295181091501,0.000685096718376066,0.0276440171557955,0.0907390209518715
20,2.03123961283856,1.07224658197024,3.21553025268079,5.88554665187759,6.32985760855461,0.862539639280631,0.0178565219143133,0.000447682701007998,0.0213394554473564,0.0835472052228177
21,1.39950284856522,1.04637611801797,1.94680468938998,4.37097313827635,4.75729485766328,0.53605140608535,0.0261421081162012,0.00278421343429779,0.0375305062111755,0.386066210243704
22,1.71737909720967,1.97479091717553,2.77195933446409,5.19965993146716,6.24992343209736,0.113240045035949,0.0374583755131243,0.00353085311397668,0.0236145143846429,0.818507743548557
23,2.3647570531126,1.82129865146619,4.62126022351978,6.32290621842631,6.68336881791474,0.914464747429263,0.0186673646558722,0.000406916880037044,0.0137300756255682,0.0318877043821923
24,1.91968364142263,1.60694081014307,3.44088855717515,5.29212329023505,5.99218526944957,0.589053400502437,0.023139446641799,0.000387269009706976,0.0305121123247952,0.35103273707858
25,2.29690057555521,3.22695919685519,4.81248510258279,6.53525816834772,6.85319959330735,0.92065105613428,0.016526097721928,0.000559391620752417,0.0172334808156051,0.0366930711157856
26,2.27967803877607,3.00800941420894,4.75415792747356,6.47213803070533,6.77692484748613,0.897382412803645,0.0184682703466622,0.000449577597202693,0.0147126709138232,0.0485058231242149
27,1.6388328681699,0.672167558671067,0.997843461762656,5.24250686020596,5.7362015702669,0.770501604869698,0.0185998037932455,0.000407258261324021,0.0270999290583189,0.164629054034328
28,1.565790392573,0.560411676479446,0.784951297618225,5.21230195000383,5.74976431855506,0.820997928349363,0.0210562605194999,0.00216809842640133,0.0336250105739912,0.122908221470598
29,1.54090815692911,0.584006089183626,0.826105185188037,5.23391046290146,5.74567362766918,0.799864456405313,0.0212116333292081,0.000271499302280761,0.0373216784791001,0.139433900409478
30,2.1693391817451,2.22508055705906,4.1028815389042,5.9323221773007,6.32380335880364,0.884881926573164,0.0312130271353291,0.0011169216856501,0.0148103248660437,0.0468519329128118
