"","Dataset","X1.","X2.","X3.","X4.","X5.","X6.","X7.","X8.","X9.","X10.","X11.","X12.","X13.","X14.","X15.","X16.","X17.","X18.","X19.","X20.","X21.","X22.","X23.","X24.","X25.","X26.","X27.","X28.","X29.","X30.","X31.","X32.","X33.","X34.","X35.","X36.","X37.","X38.","X39.","X40.","X41.","X42.","X43.","X44.","X45.","X46.","X47.","X48.","X49.","X50.","X51.","X52.","X53.","X54.","X55.","X56.","X57.","X58.","X59.","X60.","X61.","X62.","X63.","X64.","X65.","X66.","X67.","X68.","X69.","X70.","X71.","X72.","X73.","X74.","X75.","X76.","X77.","X78.","X79.","X80.","X81.","X82.","X83.","X84.","X85.","X86.","X87.","X88.","X89.","X90.","X91.","X92.","X93.","X94.","X95.","X96.","X97.","X98.","X99."
"1",1,-7.58136975424381,-7.39658748371117,-7.27443786077487,-7.18170084162631,-7.0997675580153,-7.04347429177088,-6.99613859955807,-6.93355968034175,-6.89165514626649,-6.83774856878049,-6.77797949045082,-6.69872347027081,-6.62279584213217,-6.57952742898185,-6.47386796375292,-6.39688601770588,-6.34686659629362,-6.27106185965655,-6.20879430545923,-6.16873219847619,-6.11454906488773,-6.08762120421341,-6.05304502558671,-6.0268796359003,-6.00378349265264,-5.98430318451281,-5.95855120641571,-5.93335193985622,-5.90349320163064,-5.88301078306715,-5.85737844848414,-5.83491122206593,-5.81629509072498,-5.79227906919039,-5.77718835609584,-5.75603427797244,-5.73257163458371,-5.71690294782047,-5.70546012379762,-5.68635163281989,-5.66724152211023,-5.6533334860411,-5.6392899610761,-5.61684578737797,-5.60057295802623,-5.58847881191266,-5.5680148376951,-5.55836267110626,-5.54762684967359,-5.52895189217386,-5.51299306680744,-5.49010257540445,-5.47697621587121,-5.46096249823773,-5.44644278852603,-5.42853475471623,-5.4192447307544,-5.40342895238481,-5.38421648568273,-5.36464797415165,-5.34286157546348,-5.32609220731935,-5.3068595447418,-5.28736598947688,-5.27002267950974,-5.25720860367881,-5.23326326800908,-5.21198889862106,-5.19021286007213,-5.16702650913322,-5.14997598096257,-5.12142464906834,-5.09559297264041,-5.07220955272634,-5.04191032555025,-5.01414906709101,-4.98672734650741,-4.95235125332075,-4.91686293307161,-4.86722830287063,-4.82473414673998,-4.76806270941212,-4.70454298781774,-4.63072728994501,-4.54088374955201,-4.38650269711475,-4.18972277920068,-3.85860423002885,-3.52864165436587,-3.23507176854616,-2.96916194676348,-2.66746617989825,-2.36681666083619,-2.24060312581372,-2.03088076081715,-1.84272820548715,-1.65098103031719,-1.40260036898206,-1.22510806165912
"2",2,-7.36759536066249,-7.22791227739714,-7.09664023596088,-7.01335708203535,-6.96251188505814,-6.89461938445246,-6.84705135134787,-6.81804322001689,-6.77969291997408,-6.74348520447445,-6.70561748433769,-6.66032135381477,-6.62787557716191,-6.60873295094986,-6.56820468211312,-6.53130710692926,-6.51120708531045,-6.49195863921135,-6.46448255574622,-6.4419723435083,-6.41027131126564,-6.3887982376761,-6.35297643246746,-6.32555776731393,-6.30688253095657,-6.28546866843446,-6.26656116688628,-6.24279873320264,-6.22112918550123,-6.20236481694879,-6.18629866604735,-6.16512066321864,-6.14212132878965,-6.11857330220338,-6.10006484770653,-6.07102307433453,-6.04480054396626,-6.01053117259187,-5.98363874588622,-5.96023873397217,-5.94551330477039,-5.92212808676254,-5.90514513504475,-5.88433445829134,-5.86251382271675,-5.84659696118043,-5.82312169002745,-5.80729978280149,-5.77653310488486,-5.74633031856893,-5.7194114828254,-5.68254250908006,-5.65221529668942,-5.62447068297489,-5.58716829488264,-5.54898987938108,-5.50092459332668,-5.45429428123514,-5.42101778556463,-5.38094819280201,-5.32406293552434,-5.25366433538859,-5.17385494553211,-5.05821572178712,-4.93561959719151,-4.73742207866922,-4.40159531257571,-3.97351854825893,-3.81783360614568,-3.64508821329158,-3.50002648221382,-3.36389542104699,-3.21213335828031,-3.11192667020343,-3.02947759698808,-2.96126572842176,-2.8809929895317,-2.82022131143169,-2.75046640613096,-2.70644434190772,-2.63001086744629,-2.54986384931314,-2.47228055751126,-2.41400045852433,-2.36437752727077,-2.32668279743395,-2.27182569532485,-2.22240776473168,-2.17939226241112,-2.11746925186675,-2.05182789927559,-2.00119663133574,-1.95438924775433,-1.9029056518971,-1.85746231110772,-1.78319255677355,-1.64946924189584,-1.56602182390548,-1.43699751658053
"3",3,-6.5007538312064,-6.28043682126616,-6.12967012569679,-6.04613388848364,-5.98723179562561,-5.89697918194755,-5.82980396935008,-5.78172207613949,-5.72221475313025,-5.66642026906231,-5.59917375599278,-5.54672768793407,-5.48342565543583,-5.42579225970629,-5.37760263768728,-5.31286293154523,-5.2884128729796,-5.25119099788459,-5.22474310071845,-5.19770339174027,-5.163486385732,-5.13247459382101,-5.10784108789883,-5.08110686280219,-5.06535224381492,-5.04738903157593,-5.02014456999455,-5.00038808085236,-4.97908622244126,-4.95874698265662,-4.94249319751644,-4.91486165459643,-4.89659895081097,-4.87715986290443,-4.85998923259125,-4.8349262296835,-4.8206205950851,-4.81166979592076,-4.80148792288239,-4.78790106953423,-4.77370290850612,-4.74862585383867,-4.7307447859893,-4.70887288636936,-4.690906297813,-4.67820498665668,-4.66087791000354,-4.64287393390028,-4.62564723894304,-4.61129389718757,-4.59854175196829,-4.58279851070836,-4.56472737063894,-4.54254311890824,-4.52962948375353,-4.51028545692516,-4.49687182510538,-4.47810412570792,-4.46312661932067,-4.45032280986013,-4.4341347278806,-4.41551138275229,-4.39625345273054,-4.37597718067115,-4.35780060655702,-4.33569395517652,-4.31395930229198,-4.28776991270581,-4.26825696736307,-4.24325350094135,-4.21861657332744,-4.19836065059967,-4.16756737104337,-4.13539119125341,-4.09391286318562,-4.06428404459001,-4.0287412147736,-3.9777604145932,-3.92816317744079,-3.87348424142858,-3.81318799827733,-3.69910966747917,-3.57655214210492,-3.34289079382427,-3.07155849790844,-2.74972187340193,-2.44744764418648,-2.13071273955538,-1.93081848096568,-1.68688871549349,-1.36610888843784,-1.23842031965457,-1.11920618945428,-0.965236602905035,-0.785867342245546,-0.660858857328199,-0.498263992222239,-0.329867230319607,-0.068888983307618
"4",4,-6.46809479494945,-6.347648535024,-6.20778672775967,-6.11858325050723,-6.08293626605076,-6.03648445091125,-5.99344147990765,-5.94799316560411,-5.92052417740957,-5.86915586465,-5.80482748322073,-5.74639686034929,-5.69902029368464,-5.65166255903989,-5.58777229073645,-5.54488846696723,-5.45860889999747,-5.35757361694548,-5.2082737854969,-5.12269055170489,-5.02052365045348,-4.94003328439306,-4.88372184846717,-4.83692094378979,-4.80058418280786,-4.74189317065018,-4.70032833973085,-4.65516311294676,-4.58036025864805,-4.54691370282755,-4.50162224461535,-4.47402088734266,-4.44510224366453,-4.41742329370447,-4.38079833109309,-4.35021738025828,-4.3214224804442,-4.29394388034429,-4.26074807608592,-4.23108286687086,-4.19989918348672,-4.16938506467708,-4.14389693983859,-4.10961075573969,-4.07661927047065,-4.03363063457237,-4.00201889557683,-3.97076305670151,-3.93008782122541,-3.88318260978817,-3.85857515654101,-3.81425527864248,-3.77538507912164,-3.7212207967981,-3.67193235006687,-3.59510517836149,-3.492553887928,-3.34305052424934,-2.96452363887573,-2.53288069525015,-2.27365435372013,-2.0986138604803,-1.92535332581231,-1.81019600083331,-1.70621049272972,-1.62953014051743,-1.55794559807705,-1.45930147724918,-1.3810115056177,-1.29985672962172,-1.27041881706155,-1.21731437206117,-1.16954914498408,-1.09675958693895,-1.04153355205731,-1.00609212427022,-0.961186088815172,-0.909913907123303,-0.862500869005855,-0.821915481312527,-0.797086034449879,-0.752905898114366,-0.711769427727968,-0.669817996790403,-0.628529671942681,-0.596330674268413,-0.545699246013525,-0.498584989168018,-0.447164673918111,-0.392404574215208,-0.331559093940751,-0.284015605707293,-0.243965429404869,-0.20273895728211,-0.15682983604484,-0.081531450148647,-0.000404453208781607,0.109708490581378,0.239381096471403
"5",5,-7.28913236476035,-7.03188666518039,-6.90766787275,-6.82333897808544,-6.75966500543973,-6.71058053927945,-6.65944337978749,-6.62656063175019,-6.5976332113611,-6.57265029849721,-6.54295605355786,-6.50719942404117,-6.47711410489589,-6.45990726081067,-6.43752846303554,-6.4082727318143,-6.38664297098355,-6.36704294550299,-6.34462615095731,-6.32286091893949,-6.30362559969941,-6.28965895228324,-6.27274170898883,-6.25445286695467,-6.23806055466716,-6.22266985997831,-6.20684697020854,-6.1937064496443,-6.17749719802458,-6.16364968566907,-6.1534447272199,-6.13386544462777,-6.12011547006545,-6.09955810354789,-6.08574289809283,-6.06864246592871,-6.05363757151427,-6.03886652768811,-6.02810304028395,-6.01643572042964,-6.00213765040462,-5.98611051283032,-5.96440317845713,-5.95606826114044,-5.94301559154645,-5.92829914989182,-5.91337215780782,-5.90271278077231,-5.89128155574943,-5.87954953521868,-5.86738231600176,-5.8510704965384,-5.8361154140792,-5.81815680858323,-5.8068189553975,-5.7997695809635,-5.78941525262924,-5.77681577040881,-5.76725498762731,-5.75340280796285,-5.73850740665235,-5.72344253495733,-5.70579212772145,-5.68780153913768,-5.6655837866821,-5.64836444688122,-5.62955521228832,-5.60751556980499,-5.59033033137901,-5.56547647575267,-5.54789636741806,-5.53030329573433,-5.51496188657823,-5.49285478810501,-5.47746145985713,-5.45252155069994,-5.42292817106475,-5.39913409979823,-5.37710561880587,-5.3525081196868,-5.33255537443803,-5.30771557461922,-5.27942595943256,-5.24913571918393,-5.21371461554701,-5.16976662152166,-5.13715702747275,-5.09125489302168,-5.04422516063621,-4.99669931311022,-4.92804774171219,-4.8767035284082,-4.84275414084349,-4.7404997901658,-4.64870311444408,-4.58454290883455,-4.42803538951675,-4.24294426153631,-3.93134981780054
"6",6,-6.77063791904555,-6.53366002978175,-6.42545988493551,-6.34606511430438,-6.28524212031588,-6.24461640099319,-6.1907152330159,-6.15778823479209,-6.10696445135145,-6.06950778356185,-6.02767942754092,-5.9953743235951,-5.96455354212051,-5.93259666829797,-5.88702006581888,-5.86087524406371,-5.81157737550777,-5.77344127358085,-5.74780963463859,-5.71196396087656,-5.68528870223496,-5.66433672866696,-5.61609807128195,-5.59204168391545,-5.54694195059266,-5.52079293732948,-5.49396868535306,-5.44924086068826,-5.41313077177028,-5.39156543047679,-5.36488951036798,-5.34325632739816,-5.31687447670595,-5.27853399842632,-5.24568671665355,-5.22068686209648,-5.20303809408511,-5.18140365547392,-5.15705931089173,-5.14068699693485,-5.11557965195263,-5.0938624375214,-5.07435624217939,-5.05758170673631,-5.04281120605755,-5.02525883446669,-5.01089211845572,-4.9979418337446,-4.9812045016315,-4.96602010762209,-4.94959850658292,-4.9345002217451,-4.92620631878377,-4.90774997674107,-4.89428732942877,-4.88066742365309,-4.8634943496393,-4.84771643539272,-4.82918059613494,-4.81417483964579,-4.79649432825965,-4.77702053163179,-4.75441096464142,-4.72274861048612,-4.69908956859507,-4.68020177959407,-4.66679090903595,-4.64036148369486,-4.62075462502943,-4.59943140983889,-4.56986258547991,-4.54900257390359,-4.53047896800912,-4.48690229409902,-4.45529435192147,-4.39338078742069,-4.34599853777809,-4.29799131754043,-4.21534286686765,-4.16040343775807,-4.07344337586502,-3.98738682441428,-3.8498637989046,-3.73789132914238,-3.60967311493679,-3.49459131217338,-3.41175300426407,-3.32115801261349,-3.1468000360541,-3.04296030054467,-2.90742419950113,-2.79279681422952,-2.6840267607091,-2.47325317646896,-2.25377911160806,-1.95406470965961,-1.73859359286065,-1.41100963152865,-1.15402464893275
"7",7,-6.83399632721826,-6.54782867378667,-6.44616134846311,-6.36485755903679,-6.30400132156428,-6.2420315761973,-6.21200495498742,-6.16069807600202,-6.13717876839269,-6.10841846887404,-6.07535031574909,-6.0605063180479,-6.03306138942258,-6.01070965560149,-5.99138781941145,-5.97193089590861,-5.95769821679637,-5.94848303305725,-5.93659721230144,-5.91725075781481,-5.90423075757617,-5.89359008802912,-5.87665326056926,-5.86649929639496,-5.85659902132955,-5.83907539287883,-5.83155114670595,-5.82113918364817,-5.81103699455408,-5.79761599437871,-5.78636311653716,-5.77712495007481,-5.76836124948815,-5.76050164394229,-5.75019551767076,-5.73787597563981,-5.72595736470704,-5.71747544910959,-5.70423862428669,-5.69211215954581,-5.6785592238534,-5.67348113809008,-5.66461436043344,-5.65535393757898,-5.6483602145039,-5.63830530743833,-5.6281710218119,-5.61859870020495,-5.60972624104061,-5.59552588395606,-5.58514013411613,-5.56934764046671,-5.55410736862195,-5.54291354392958,-5.53134027772851,-5.52133351895243,-5.51004730445193,-5.50170813808351,-5.49140008522214,-5.47909091230547,-5.46769341271073,-5.45976471528417,-5.44408149870501,-5.43301548588751,-5.42082578562694,-5.40914210015716,-5.39160772507434,-5.37678957177955,-5.36404697768786,-5.3546557906342,-5.34247352654814,-5.32682710909625,-5.31869792059662,-5.29813946231848,-5.28761501454313,-5.27227160210165,-5.25391377504013,-5.23573013354817,-5.22224682322137,-5.20758753616781,-5.17287952028806,-5.15792456425744,-5.13730530203643,-5.11444314016896,-5.0713227353169,-5.03937897876351,-5.015011045534,-4.96811744806923,-4.90852577239591,-4.86609029254381,-4.83918876195225,-4.76910567830837,-4.64734481422545,-4.49907927226862,-4.32519698567608,-4.18469991197267,-3.96143344435871,-3.60893599775694,-2.96249099045466
"8",8,-6.70120756287186,-6.48118387428524,-6.36681003803008,-6.27939687591544,-6.21614041870716,-6.16472215162175,-6.10927445150833,-6.05894769100072,-6.01246118521092,-5.96838960312297,-5.91025817612557,-5.86844961665778,-5.81183954725779,-5.7701453895015,-5.70949996325916,-5.66628622993187,-5.61278390245044,-5.57759470911239,-5.5491448424253,-5.50595192673534,-5.47145445035816,-5.43986473539266,-5.40538008901539,-5.37709991468932,-5.33482652837854,-5.30616639258851,-5.2826670163154,-5.25757489125917,-5.24207870398486,-5.22801927219577,-5.21349613741087,-5.20078215033896,-5.18410751754233,-5.1629398395982,-5.15041709919525,-5.12302489960492,-5.09963248481397,-5.08371502691429,-5.06881295934072,-5.04944406683915,-5.03565941403182,-5.01891040533943,-5.00594421777266,-4.98969172539927,-4.98009915306017,-4.96505924845429,-4.95163154136031,-4.93885993916714,-4.9201163308898,-4.90505001584225,-4.88725309801802,-4.87114380843688,-4.85215021491562,-4.83990989614691,-4.82006167099026,-4.79392424938355,-4.7711025440218,-4.75309743770228,-4.73192903841727,-4.7126818344036,-4.70066255895202,-4.67204787503024,-4.6519207784547,-4.62705849727591,-4.6059648646351,-4.57138375830493,-4.5312816378948,-4.48811324672325,-4.44784085631706,-4.39733075094658,-4.33161627929437,-4.26303891931425,-4.20444386899931,-4.14495770550669,-4.06739097318984,-3.97707942613165,-3.90256711902275,-3.81860327084791,-3.74026655150446,-3.68006491393264,-3.60743416822004,-3.53623923720632,-3.46677390769928,-3.37845993840131,-3.29735907256209,-3.23590338154721,-3.15052342306516,-3.05405031995344,-2.97251834003144,-2.91025095361276,-2.79001993771635,-2.65829825854425,-2.53126062467414,-2.39608031335081,-2.20548434267471,-2.03833402254849,-1.77300653318782,-1.60115822742097,-1.3941866089799
"9",9,-7.21160975475949,-7.05290084112098,-6.92827331413745,-6.86791124973711,-6.78207488310176,-6.70677168860281,-6.64619241575614,-6.59633451666488,-6.55243078558348,-6.49924203995001,-6.45010199886654,-6.39625816558376,-6.33584999817466,-6.28355500906406,-6.22196789423452,-6.15382428892227,-6.08993164244598,-6.02259231465599,-5.94464611090347,-5.8845896746143,-5.82749781092068,-5.79794299185384,-5.71855366012402,-5.67788192522483,-5.65487778139862,-5.6244892104244,-5.5991467461537,-5.56107066114314,-5.53564140753438,-5.51187813622873,-5.47808178964951,-5.46077305272975,-5.43346740631418,-5.40265469189414,-5.38215237934998,-5.36082674807176,-5.33547454214787,-5.30254635844133,-5.28353444616227,-5.25147241640333,-5.23252407377734,-5.20743010429402,-5.1795946967701,-5.14922380130772,-5.12611117326695,-5.09757979458319,-5.07371842014678,-5.04963191017685,-5.01655401235777,-4.99100265408457,-4.96407359091606,-4.93748876660308,-4.8998735488138,-4.86312176621689,-4.83160407922768,-4.79046791134769,-4.73993164310259,-4.69128805302188,-4.65287750114711,-4.58146197629089,-4.52266574201393,-4.31557425741833,-4.01675521179215,-3.76040145914954,-3.35891014466005,-3.07846158366026,-2.80709566303336,-2.66665343979976,-2.54467703597466,-2.4075150441669,-2.32916511171652,-2.2518710961336,-2.17221631183,-2.09340275170606,-2.03893957606147,-1.98922612221482,-1.9447579353225,-1.89271576250858,-1.82236873338626,-1.76561338943638,-1.7165993076082,-1.67116027338998,-1.61816968658636,-1.56548738799889,-1.51084853567042,-1.47780349402759,-1.44023813918746,-1.39158992412899,-1.35143950620577,-1.28472258936793,-1.23135885709018,-1.16269091260955,-1.10921452705906,-1.04496035133292,-0.988957358717798,-0.91262240635637,-0.844627355302917,-0.741986341388181,-0.572190420277354
"10",10,-4.11811109028467,-3.39553351974277,-3.11802111929259,-2.89871936227158,-2.75752188504174,-2.66784893492086,-2.6077686375939,-2.54533101685795,-2.5029256811001,-2.40735946891432,-2.35774693740043,-2.2914734654217,-2.25330124822892,-2.22159216895003,-2.17502867360045,-2.13440421698625,-2.10937654438078,-2.08265830234497,-2.05812366464374,-2.02839900757259,-2.00037454116166,-1.97990955676157,-1.95996702078416,-1.93237352639391,-1.90603842057353,-1.8697877822557,-1.85132161311339,-1.83411033019095,-1.81311736902555,-1.79330274340689,-1.77966779413831,-1.7571690951188,-1.7372256100115,-1.72391397003996,-1.70413319393,-1.68431275963723,-1.66841229171161,-1.64654234325598,-1.62861378543747,-1.61361908030095,-1.59757412462735,-1.58160721737741,-1.56569896602427,-1.55314870937475,-1.53944289350687,-1.52284346778992,-1.50765373001513,-1.49884648156855,-1.48908334006085,-1.47748776285793,-1.46469596821252,-1.44805407349482,-1.43733028575644,-1.42461332019062,-1.41128580197237,-1.39885842498655,-1.38843478011045,-1.37093554963896,-1.35692225971291,-1.33779363868101,-1.32662486732059,-1.31326399966672,-1.29461577946913,-1.28469883967214,-1.27108478329924,-1.25941355657897,-1.24228620216559,-1.23287092683699,-1.21793682267406,-1.20226032422364,-1.18841970039949,-1.17887813235767,-1.16494288061331,-1.15258052143988,-1.13761639020476,-1.12358507324635,-1.10567033374531,-1.0920574109108,-1.07533478871905,-1.05438687031738,-1.04019762174538,-1.02609160397507,-1.00666469914266,-0.986409593527795,-0.975293353830522,-0.949699687039385,-0.931792668473863,-0.906483710615503,-0.876620283315615,-0.855804115483387,-0.829627718723366,-0.798641333576143,-0.763111339842807,-0.729834468406454,-0.671416582828813,-0.639053103216457,-0.597558705426348,-0.537265701358009,-0.422949404850113
