Dataset,RSD.log10sd,RSD.log10mad,RSD.log10iqr,RSD.log10ci90,RSD.log10ci95,Model,sigmaH,DAF,AHU,Residuals
1,1.35571398801948,0.709361675034534,0.961873087550093,5.06888252928284,5.79996885703346,0.798629421776075,0.0285774736426542,0.00132477501181489,0.0472457606414172,0.119472036451896
2,1.79865271120755,1.21625121779424,3.27740494248074,5.10503753487479,5.55558736110216,0.853867466612299,0.0290201181739896,0.00107686199491321,0.0278910291095476,0.0892677365360458
3,1.43644011497881,0.699463708996008,0.971427969356567,5.20134904080317,5.78886896492529,0.777905947368609,0.0246629812982555,0.00159476409767979,0.0435861447551281,0.153165211304546
4,2.06239475747692,2.74434212536422,3.7590511961185,5.92610361415331,6.32944461871082,0.908598782078601,0.0266033322765146,0.00181786948410236,0.0196854621529824,0.046744756266494
5,0.657204197291442,0.563656646968685,0.760598901855777,2.11096497133577,2.61268950729176,0.0018082825411376,0.0811794680372792,0.010059305781236,0.174982688262521,0.721279808036336
6,1.18432694781384,0.830802654582612,1.09164998335897,4.03139814611043,4.84142714201102,0.815301569084042,0.0302404667745556,0.004038545060685,0.0598966144504841,0.0756006592895227
7,0.680312943519071,0.415136078028422,0.5689839210408,1.978804184244,2.67947955330961,0.479296854551046,0.0808857135121515,0.0178212961303039,0.186058351090839,0.202482964825256
8,1.1770653567561,0.842899028327974,1.26743295733706,4.01065639999428,4.68625765689792,0.816709422035615,0.0361396936583622,0.00362063395330871,0.0597466005580031,0.0759875595602342
9,1.99073950109118,1.90154754312261,3.61594061898885,5.79311949978068,6.19578333926565,0.890789059638049,0.0250318544380405,0.000874963074600989,0.0194794438199002,0.0608772859199318
10,0.691362346525119,0.553113632307354,0.768421951457806,2.0861136321015,2.6881551490623,0,0.660491256027417,0.0150884189844075,0.176043032547187,0.123283277643813
11,1.53352738241517,0.920308332221283,1.88697091254707,4.81378986535835,5.37231401171108,0.7139528611158,0.0283545403064501,0.000222181343862307,0.0402168751124956,0.207730492874955
